generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,
BUPRENORPHINE HYDROCHLORIDE,"The drug label for BELBUCA discusses infertility risks in the following sections:
 

 1. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Sentence:** ""Use of opioids for an extended period of time may cause reduced fertility in females and males of reproductive potential.""
  - **Summary:** The drug itself (BELBUCA, which contains buprenorphine) is associated with the risk of reduced fertility when used for an extended period.
  - **Sentence:** ""It is not known whether these effects on fertility are reversible.""
  - **Summary:** The drug itself is associated with infertility risks, but it is not known if these effects are reversible.
 

 2. **Section 6.2 Postmarketing Experience:**
  - **Sentence:** ""Androgen deficiency: Cases of androgen deficiency have occurred with use of opioids for an extended period of time.""
  - **Summary:** The drug itself (as an opioid) is associated with the risk of androgen deficiency, which can impact fertility.
 

 3. **Section 12.2 Pharmacodynamics:**
  - **Sentence:** ""Use of opioids for an extended period of time may influence the hypothalamic-pituitary-gonadal axis, leading to androgen deficiency that may manifest as low libido, impotence, erectile dysfunction, amenorrhea, or infertility.""
  - **Summary:** The drug itself (as an opioid) is associated with the risk of influencing the hypothalamic-pituitary-gonadal axis, leading to androgen deficiency and potential infertility.
 

 In summary, the drug label indicates that BELBUCA, which contains buprenorphine, is associated with infertility risks due to its potential to cause reduced fertility and androgen deficiency when used for an extended period. It is also noted that the reversibility of these effects is unknown.",Most,Yes,1,1,,
FENOPROFEN,"The drug label for Fenoprofen Calcium does not explicitly discuss infertility risks associated with the drug itself. However, it does mention the following related points:
 

 1. **Carcinogenesis, Mutagenesis, and Impairment of Fertility**:
  - ""Studies have not been conducted to determine the effect of fenoprofen on mutagenicity or fertility.""
  - **Summary**: No studies have been conducted to determine if Fenoprofen Calcium affects fertility. Therefore, it is not known whether the drug itself is associated with or causes infertility risks.
 

 2. **Pregnancy**:
  - ""Reproductive studies conducted in rats and rabbits have not demonstrated evidence of developmental abnormalities when given daily oral doses of 50 or 100 mg/kg fenoprofen calcium, respectively (0.15 and 0.6 times the maximum human daily dose of 3200 mg based on body surface area comparisons). However, animal reproduction studies are not always predictive of human response.""
  - **Summary**: Animal studies did not show developmental abnormalities, but these studies do not always predict human response. This does not directly address infertility risks but suggests that the drug itself was not associated with developmental issues in animal studies.
 

 3. **Nonteratogenic Effects**:
  - ""Because of the known effects of nonsteroidal anti-inflammatory drugs on the fetal cardiovascular system (closure of ductus arteriosus), use during pregnancy (particularly late pregnancy) should be avoided.""
  - **Summary**: This statement addresses the risks of NSAIDs on the fetal cardiovascular system rather than infertility. It does not indicate that Fenoprofen Calcium itself is associated with or causes infertility risks.
 

 In conclusion, the drug label does not provide specific information indicating that Fenoprofen Calcium is associated with or causes infertility risks. The absence of studies on mutagenicity or fertility means that the potential impact on fertility is unknown.",No,No,1,1,,
ROMIDEPSIN,"The drug label for ISTODAX (romidepsin) discusses infertility risks in several sections. Here is a summary of those parts, clearly stating whether the drug itself was associated with or caused the infertility risk:
 

 1. **Section 5.5 Embryo-Fetal Toxicity:**
  - **Summary:** This section does not directly discuss infertility but mentions that ISTODAX can cause fetal harm based on its mechanism of action and animal studies.
 

 2. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Summary:** This section states that ISTODAX can cause fetal harm when administered to a pregnant woman. It advises females of reproductive potential to use effective contraception during treatment and for 1 month after the last dose. It also advises males with female partners of reproductive potential to use effective contraception during treatment and for 1 month after the last dose.
  - **Infertility Risk:** The section explicitly states that ISTODAX may cause infertility in both males and females based on findings in animals.
 

 3. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - **Summary:** This section provides detailed findings from nonclinical studies indicating that ISTODAX may compromise fertility in both males and females.
  - **Infertility Risk:**
  - **Males:** Romidepsin administration resulted in testicular degeneration in rats at doses following the clinical dosing schedule. This dose resulted in AUC values approximately 2% of the exposure level in patients receiving the recommended dose of 14 mg/m²/dose. A similar effect was seen in mice after 4 weeks of drug administration at higher doses. Seminal vesicle and prostate organ weights were decreased in a separate study in rats after 4 weeks of daily drug administration at approximately 30% of the estimated human daily dose based on body surface area.
  - **Females:** In a 26-week toxicology study in rats, atrophy was seen in the ovary, uterus, vagina, and mammary gland of females administered doses as low as 0.1 mg/kg/dose following the clinical dosing schedule. This dose resulted in AUC values that were 0.3% of those in patients receiving the recommended dose of 14 mg/m²/dose. Maturation arrest of ovarian follicles and decreased weight of ovaries were observed in a separate study in rats after 4 weeks of daily drug administration at approximately 30% of the estimated human daily dose based on body surface area.
 

 4. **Section 17 Patient Counseling Information:**
  - **Summary:** This section advises patients that ISTODAX may cause infertility in both males and females.
  - **Infertility Risk:** The section explicitly states that ISTODAX may cause infertility in both males and females.
 

 5. **Patient Information Leaflet:**
  - **Summary:** The leaflet advises patients that ISTODAX may cause fertility problems in both males and females and suggests discussing concerns with their healthcare provider.
  - **Infertility Risk:** The leaflet explicitly states that ISTODAX may cause fertility problems in both males and females.
 

 In summary, ISTODAX (romidepsin) itself is associated with and causes infertility risks in both males and females, as evidenced by findings from animal studies and explicitly stated in multiple sections of the drug label.",Most,Yes,1,1,,
OSIMERTINIB,"The drug label for TAGRISSO (osimertinib) discusses infertility risks in the following sections:
 

 1. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Summary:** This section states that based on animal data, TAGRISSO can cause malformations, embryo lethality, and postnatal death at doses resulting in exposures 1.5 times or less the human exposure at the clinical dose of 80 mg daily. It also mentions that TAGRISSO may impair fertility in females and males of reproductive potential.
  - **Drug Association:** TAGRISSO itself is associated with the risk of infertility.
 

 2. **Subsection - Infertility:**
  - **Summary:** This subsection elaborates that based on animal studies, TAGRISSO may impair fertility in both females and males of reproductive potential. It notes that the effects on female fertility showed a trend toward reversibility, but it is not known whether the effects on male fertility are reversible.
  - **Drug Association:** TAGRISSO itself is associated with the risk of infertility.
 

 3. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - **Summary:** This section provides detailed findings from animal studies. It states that male fertility may be impaired by treatment with TAGRISSO, with degenerative changes in the testes observed in rats and dogs exposed to osimertinib for one month or more, with evidence of reversibility in rats. It also mentions a reduction in male fertility demonstrated by increased pre-implantation loss in untreated females mated to treated males. For females, it notes histological evidence of anestrus, corpora lutea degeneration in the ovaries, and epithelial thinning in the uterus and vagina in rats exposed to osimertinib for one month or more, with evidence of reversibility. In a female fertility study in rats, osimertinib caused early embryonic deaths, but these findings showed evidence of reversibility when females were mated one month after treatment discontinuation.
  - **Drug Association:** TAGRISSO itself is associated with the risk of infertility in both males and females.
 

 In summary, TAGRISSO (osimertinib) is associated with the risk of infertility in both males and females based on animal studies, with some evidence suggesting potential reversibility of these effects.",Most,Yes,1,1,,
LINCOMYCIN HYDROCHLORIDE,"The drug label for Lincocin (lincomycin injection, USP) includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility,"" which discusses the potential risks related to infertility. Here is a summary of the relevant parts:
 

 1. **Impairment of Fertility**:
  - **Sentence**: ""Impairment of fertility was not observed in male or female rats given oral 300 mg/kg doses of lincomycin (0.36 times the highest recommended human dose based on mg/m²).""
  - **Summary**: The drug itself was not associated with or did not cause infertility in male or female rats at the given dose.
 

 2. **Nonteratogenic Effects**:
  - **Sentence**: ""Reproduction studies performed in rats administered oral lincomycin in diet for 2 weeks prior to mating, throughout pregnancy and lactation, revealed no adverse effects on survival of offspring from birth to weaning at doses up to 1000 mg/kg (1.2 times the MRHD based on body surface area comparison) up to 2 generations.""
  - **Summary**: The drug itself was not associated with or did not cause adverse effects on the survival of offspring, indicating no infertility risk in the studied rats.
 

 In summary, the drug label indicates that lincomycin was not associated with or did not cause infertility in the animal studies conducted.",No,No,1,1,,
PRAVASTATIN SODIUM; PRAVATATIN,"The drug label for Pravastatin Sodium Tablets includes several sections that discuss infertility risks. Here is a summary of those parts, clearly stating whether the drug itself was associated with or caused the infertility risk:
 

 1. **Section 5.4 Endocrine Function:**
  - **Summary:** ""The effects of statins on spermatogenesis and fertility have not been studied in adequate numbers of patients.""
  - **Association/Cause:** This sentence indicates that the effects of statins, including pravastatin, on fertility have not been adequately studied, so no direct association or causation is established.
 

 2. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - **Summary:** ""In a fertility study in adult rats with daily doses up to 500 mg/kg, pravastatin did not produce any adverse effects on fertility or general reproductive performance.""
  - **Association/Cause:** This sentence indicates that pravastatin did not cause infertility in the studied rats.
 

 3. **Section 13.2 Animal Toxicology and/or Pharmacology:**
  - **Summary:** ""Juvenile male rats given 90 times (AUC) the 40 mg dose had decreased fertility (20%) with sperm abnormalities compared to controls.""
  - **Association/Cause:** This sentence indicates that high doses of pravastatin were associated with decreased fertility and sperm abnormalities in juvenile male rats.
 

 4. **Section 8.4 Pediatric Use:**
  - **Summary:** ""Juvenile male rats given 90 times (AUC) the 40 mg dose had decreased fertility (20%) with sperm abnormalities compared to controls.""
  - **Association/Cause:** This sentence, repeated from Section 13.2, indicates that high doses of pravastatin were associated with decreased fertility and sperm abnormalities in juvenile male rats.
 

 In summary, while pravastatin did not cause infertility in adult rats, high doses were associated with decreased fertility and sperm abnormalities in juvenile male rats. The effects on human fertility have not been adequately studied.",Less,Yes,2,2,,
CYCLOSPORINE OPHTHALMIC SOLUTION,"The drug label for VEVYE (cyclosporine ophthalmic solution) 0.1% includes information on infertility risks under the section ""13 NONCLINICAL TOXICOLOGY,"" specifically in the subsection ""13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **Impairment of Fertility**:
  - **Sentence**: ""Oral administration of cyclosporine to rats for 12 weeks (male) and 2 weeks (female) prior to mating produced no adverse effects on fertility at doses up to 15 mg/kg/day (approximately 3,600 times higher than the maximum recommended human ophthalmic dose).""
  - **Summary**: The drug itself (cyclosporine) was not associated with or did not cause infertility risks in rats when administered orally at doses significantly higher than the recommended human ophthalmic dose.
 

 In summary, the drug label indicates that cyclosporine, when administered orally to rats at high doses, did not produce adverse effects on fertility, suggesting that the drug itself was not associated with or did not cause infertility risks in the tested animal model.",No,No,1,1,,
FLUOROMETHOLONE,"The drug label for FML FORTE® (fluorometholone ophthalmic suspension, USP) 0.25% includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts discussing infertility risks:
 

 1. **No studies have been conducted in animals or in humans to evaluate the possibility of these effects with fluorometholone.**
  - **Summary:** No studies have been conducted to evaluate whether fluorometholone itself is associated with or causes infertility risks.
 

 In conclusion, the drug label does not provide any specific information indicating that fluorometholone is associated with or causes infertility risks, as no studies have been conducted to evaluate this possibility.",No,No,2,2,,No evidence
HALOPERIDOL LACTATE,"The drug label for Haloperidol Injection, USP discusses infertility risks in the following sections:
 

 ### Usage in Pregnancy
 - **Sentence:** ""Rats or rabbits administered oral haloperidol at doses of 0.5 to 7.5 mg/kg which are approximately 0.2 to 7 times the maximum recommended human dose (MRHD) of 20 mg per day based on mg/m² body surface area, showed an increase in incidence of resorption, reduced fertility, delayed delivery and pup mortality.""
  - **Summary:** The drug itself (oral haloperidol) was associated with reduced fertility in animal studies (rats or rabbits).
 

 ### Carcinogenesis, Mutagenesis, and Impairment of Fertility
 - **Sentence:** ""No mutagenic potential of haloperidol was found in the Ames Salmonella assay. Negative or inconsistent positive findings have been obtained in in vitro and in vivo studies of effects of haloperidol on chromosome structure and number. The available cytogenetic evidence is considered too inconsistent to be conclusive at this time.""
  - **Summary:** The drug itself (haloperidol) was not conclusively associated with mutagenic potential or chromosomal effects based on inconsistent findings.
  
 - **Sentence:** ""Carcinogenicity studies using oral haloperidol were conducted in Wistar rats (dosed at up to 5 mg/kg daily for 24 months) and in Albino Swiss mice (dosed at up to 5 mg/kg daily for 18 months). In the rat study survival was reduced in all dose groups, decreasing the number of rats at risk for developing tumors. However, although a relatively greater number of rats survived to the end of the study in high-dose male and female groups, these animals did not have a greater incidence of tumors than control animals. Therefore, although not optimal, this study does suggest the absence of a haloperidol related increase in the incidence of neoplasia in rats at doses up to approximately 2.5 times the maximum recommended human dose (MRHD) of 20 mg per day based on mg/m² body surface area.""
  - **Summary:** The drug itself (oral haloperidol) was not associated with an increased incidence of tumors in rats, suggesting no carcinogenic effect.
  
 - **Sentence:** ""In female mice there was a statistically significant increase in mammary gland neoplasia and total tumor incidence at doses approximately 0.3 and 1.2 times the MRHD based on mg/m² body surface area and there was a statistically significant increase in pituitary gland neoplasia at approximately 1.2 times the MRHD. In male mice, no statistically significant differences in incidences of total tumors or specific tumor types were noted.""
  - **Summary:** The drug itself (oral haloperidol) was associated with an increased incidence of mammary gland and pituitary gland tumors in female mice, but not in male mice.
  
 - **Sentence:** ""Antipsychotic drugs elevate prolactin levels; the elevation persists during chronic administration. Tissue culture experiments indicate that approximately one-third of human breast cancers are prolactin dependent in vitro, a factor of potential importance if the prescription of these drugs is contemplated in a patient with a previously detected breast cancer.""
  - **Summary:** The drug itself (antipsychotic drugs, including haloperidol) was associated with elevated prolactin levels, which could be important for patients with prolactin-dependent breast cancer.
  
 - **Sentence:** ""Although disturbances such as galactorrhea, amenorrhea, gynecomastia, and impotence have been reported, the clinical significance of elevated serum prolactin levels is unknown for most patients.""
  - **Summary:** The drug itself (haloperidol) was associated with disturbances like galactorrhea, amenorrhea, gynecomastia, and impotence, but the clinical significance of elevated prolactin levels is unclear.
  
 - **Sentence:** ""An increase in mammary neoplasms has been found in rodents after chronic administration of antipsychotic drugs.""
  - **Summary:** The drug itself (antipsychotic drugs, including haloperidol) was associated with an increase in mammary neoplasms in rodents.
  
 - **Sentence:** ""Neither clinical studies nor epidemiologic studies conducted to date, however, have shown an association between chronic administration of these drugs and mammary tumorigenesis; the available evidence is considered too limited to be conclusive at this time.""
  - **Summary:** The drug itself (antipsychotic drugs, including haloperidol) was not conclusively associated with mammary tumorigenesis in clinical or epidemiologic studies.
 

 In summary, the drug label indicates that haloperidol has been associated with reduced fertility in animal studies and disturbances related to elevated prolactin levels, which could potentially impact fertility. However, the clinical significance of these findings in humans remains unclear.",Less,Yes,1,1,,
GENTAMICIN SULFATE,"The drug label for Gentamicin Sulfate Ophthalmic Solution includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the parts that discuss infertility risks:
 

 1. **Sentence:** ""There are no published carcinogenicity or impairment of fertility studies on gentamicin.""
  - **Summary:** The drug itself has not been associated with or shown to cause infertility risks because no studies have been published on this matter.
 

 2. **Sentence:** ""Aminoglycoside antibiotics have been found to be non-mutagenic.""
  - **Summary:** The drug itself (as an aminoglycoside antibiotic) has not been associated with or shown to cause infertility risks, as aminoglycosides are generally found to be non-mutagenic.
 

 3. **Sentence:** ""Gentamicin has been shown to depress body weights, kidney weights and median glomerular counts in newborn rats when administered systemically to pregnant rats in daily doses approximately 500 times the maximum recommended ophthalmic human dose.""
  - **Summary:** The drug itself, when administered systemically in very high doses to pregnant rats, caused adverse effects in newborn rats, but this does not directly indicate an infertility risk in humans at the recommended ophthalmic dose.
 

 4. **Sentence:** ""There are no adequate and well-controlled studies in pregnant women.""
  - **Summary:** The drug itself has not been associated with or shown to cause infertility risks in humans because there are no adequate and well-controlled studies in pregnant women.
 

 5. **Sentence:** ""Gentamicin should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus.""
  - **Summary:** The drug itself may pose potential risks to the fetus, but it does not specifically mention infertility risks. The use during pregnancy should be justified by potential benefits.
 

 In summary, the drug label does not provide evidence that Gentamicin Sulfate Ophthalmic Solution is associated with or causes infertility risks. The information provided mainly discusses the lack of studies and potential risks to the fetus when used in high doses in animal studies.",No,No,1,1,,
