generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,,
DOLUTEGRAVIR SODIUM,"The drug label for TIVICAY (dolutegravir) includes several mentions of hematological toxicity risks and reactions. Here is a summary of those parts:

1. **Section 6.1 Clinical Trials Experience:**
   - **Treatment-Naïve Subjects:**
     - **Table 6: Selected Laboratory Abnormalities (Grades 2 to 4) in Treatment-Naïve Subjects in SPRING-2 (Week 96 Analysis) and SINGLE Trials (Week 144 Analysis):**
       - **Total neutrophils:**
         - Grade 2 (0.75-0.99 x 10^9): 4% in TIVICAY group vs. 3% in raltegravir group.
         - Grade 3 to 4 (<0.75 x 10^9): 2% in TIVICAY group vs. 2% in raltegravir group.
       - **Summary:** TIVICAY was associated with a 4% incidence of Grade 2 and a 2% incidence of Grade 3 to 4 total neutrophil abnormalities in treatment-naïve subjects.

2. **Section 6.1 Clinical Trials Experience in Pediatric Subjects:**
   - **IMPAACT P1093 Trial:**
     - **Grade 3 or 4 laboratory abnormalities reported in more than one subject:**
       - Decreased neutrophil count (n = 11).
       - **Summary:** TIVICAY was associated with decreased neutrophil counts in pediatric subjects.

3. **Section 6.2 Postmarketing Experience:**
   - **Investigations:**
     - **Weight increased.**
     - **Summary:** This section does not mention hematological toxicity directly related to TIVICAY.

4. **Section 12.3 Pharmacokinetics:**
   - **Patients with Renal Impairment:**
     - **Summary:** This section discusses pharmacokinetics and does not mention hematological toxicity.

5. **Section 14.3 Pediatric Subjects:**
   - **IMPAACT P1093 Trial:**
     - **Summary:** This section reiterates the findings from the clinical trials experience in pediatric subjects, specifically the decreased neutrophil counts.

In summary, TIVICAY (dolutegravir) is associated with hematological risks, particularly decreased neutrophil counts, in both treatment-naïve adult subjects and pediatric subjects. These findings were observed in clinical trials and are documented in the drug label.",Less,Yes,1,1,,,
DOXYCYCLINE HYCLATE,"The drug label for DORYX MPC (doxycycline hyclate delayed-release tablets) mentions hematological toxicity risks and reactions in the following sections:

1. **Warnings and Precautions (Section 5.4 - Potential for Microbial Overgrowth)**:
   - ""Overgrowth of non-susceptible organisms, including fungi, may occur. If such infections occur, discontinue use and institute appropriate therapy.""
   - **Summary**: This section does not directly associate the drug with hematological toxicity but mentions the potential for microbial overgrowth, which could indirectly affect hematological health.

2. **Adverse Reactions (Section 6)**:
   - ""Adverse reactions observed in patients receiving tetracyclines include anorexia, nausea, vomiting, diarrhea, rash, photosensitivity, urticaria, and hemolytic anemia.""
   - **Summary**: The drug is associated with hemolytic anemia as an adverse reaction.
   - ""Blood: Hemolytic anemia, thrombocytopenia, neutropenia, and eosinophilia have been reported.""
   - **Summary**: The drug is associated with hemolytic anemia, thrombocytopenia, neutropenia, and eosinophilia as adverse reactions.

3. **Drug Interactions (Section 7.1 - Anticoagulant Drugs)**:
   - ""Because tetracyclines have been shown to depress plasma prothrombin activity, patients who are on anticoagulant therapy may require downward adjustment of their anticoagulant dosage.""
   - **Summary**: The drug is associated with the depression of plasma prothrombin activity, which is a hematological effect.

4. **Use in Specific Populations (Section 8.1 - Pregnancy)**:
   - ""Results of animal studies indicate that tetracyclines cross the placenta, are found in fetal tissues, and can have toxic effects on the developing fetus (often related to retardation of skeletal development).""
   - **Summary**: This section does not directly associate the drug with hematological toxicity but mentions potential toxic effects on fetal development, which could include hematological aspects.

5. **Nonclinical Toxicology (Section 13.1 - Carcinogenesis, Mutagenesis, Impairment of Fertility)**:
   - ""Long-term studies in animals to evaluate carcinogenic potential of doxycycline have not been conducted. However, there has been evidence of oncogenic activity in rats in studies with the related antibiotics, oxytetracycline (adrenal and pituitary tumors) and minocycline (thyroid tumors).""
   - **Summary**: This section does not directly associate the drug with hematological toxicity but mentions oncogenic activity in related antibiotics, which could have hematological implications.

In summary, DORYX MPC is directly associated with hemolytic anemia, thrombocytopenia, neutropenia, and eosinophilia as adverse reactions. It is also associated with the depression of plasma prothrombin activity, which is a hematological effect. Other sections mention potential toxic effects and oncogenic activity in related antibiotics, but these are not directly linked to hematological toxicity in the context of DORYX MPC.",Most,Yes,1,1,,,
EPINEPRINE,"The drug label for Adrenalin (epinephrine injection) does not explicitly discuss hematological toxicity risks or hematological reactions. However, it does mention several related adverse effects and precautions that could indirectly impact the hematological system. Here is a summary of the relevant parts:

1. **Warnings and Precautions:**
   - **Extravasation and Tissue Necrosis with Intravenous Infusion (5.3):** The label warns that extravasation of epinephrine into tissues can cause local necrosis. This is associated with the drug itself.
   - **Antidote for Extravasation Ischemia:** To prevent sloughing and necrosis in areas where extravasation has occurred, the label recommends infiltrating the area with saline solution containing phentolamine. This precaution is related to the drug itself.

2. **Adverse Reactions:**
   - **Common Adverse Reactions (6):** The label lists common adverse reactions to systemically administered epinephrine, including pallor. This reaction is associated with the drug itself.
   - **Cardiovascular Adverse Reactions:** The label mentions that rapid rises in blood pressure associated with epinephrine use have produced cerebral hemorrhage, particularly in elderly patients with cardiovascular disease. This reaction is associated with the drug itself.

3. **Drug Interactions:**
   - **Drugs Potentiating Arrhythmogenic Effects of Epinephrine (7.3):** The label notes that cardiac arrhythmias are more common among patients receiving certain drugs in combination with epinephrine. This interaction is associated with the drug itself.

4. **Use in Specific Populations:**
   - **Pregnancy (8.1):** The label mentions that epinephrine may cause fetal harm, including gastroschisis and embryonic lethality, based on animal studies. This risk is associated with the drug itself.

5. **Overdosage (10):**
   - **Overdosage Effects:** The label states that overdosage of epinephrine may produce extremely elevated arterial pressure, which may result in cerebrovascular hemorrhage. This reaction is associated with the drug itself.

In summary, the drug label for Adrenalin (epinephrine injection) does not explicitly discuss hematological toxicity risks but does mention several adverse effects and precautions that could indirectly impact the hematological system. These effects and precautions are associated with the drug itself.",Less,No,1,1,,,
EPIRUBICIN HYDROCHLORIDE,"### Summary of Hematological Toxicity Risks and Reactions for ELLENCE (Epirubicin Hydrochloride)

#### Boxed Warning
- **Severe Myelosuppression**: ELLENCE can cause severe myelosuppression, resulting in serious infection, septic shock, requirement for transfusions, hospitalization, and death.

#### Warnings and Precautions
- **Severe Myelosuppression**: ELLENCE can cause severe myelosuppression. Complete blood counts should be obtained prior to each treatment and patients should be carefully monitored during treatment for possible clinical complications due to myelosuppression. If severe myelosuppression has not improved, the next dose of ELLENCE should be delayed. Dose reduction should be considered for patients with prolonged myelosuppression based on the severity of the reaction.

#### Adverse Reactions
- **Hematologic Toxicity**: Dose-dependent, reversible leukopenia and/or neutropenia are the predominant manifestations of hematologic toxicity associated with ELLENCE and represent the most common acute dose-limiting toxicity of this drug. Severe thrombocytopenia and anemia may also occur. Clinical consequences of severe myelosuppression include fever, infection, septicemia, septic shock, hemorrhage, tissue hypoxia, symptomatic anemia, or death. Myelosuppression requires careful monitoring, and total and differential WBC, RBC, and platelet counts should be assessed before and during each cycle of therapy with ELLENCE.

#### Clinical Trials Experience
- **Hematologic Adverse Reactions**: In clinical trials, the most common hematologic adverse reactions (≥10%) associated with ELLENCE were leukopenia, neutropenia, anemia, and thrombocytopenia. Specific percentages of these reactions in patients with early breast cancer treated with ELLENCE-containing regimens were:
  - Leukopenia: 80% (Grades 1-4), 59% (Grades 3/4)
  - Neutropenia: 80% (Grades 1-4), 67% (Grades 3/4)
  - Anemia: 72% (Grades 1-4), 6% (Grades 3/4)
  - Thrombocytopenia: 49% (Grades 1-4), 5% (Grades 3/4)

#### Secondary Leukemia
- **Secondary Malignancies**: The risk of developing secondary acute myelogenous leukemia (AML) and myelodysplastic syndrome (MDS) is increased following treatment with ELLENCE and other anthracyclines. The cumulative risk of secondary AML/MDS was about 0.27% at 3 years, 0.46% at 5 years, and 0.55% at 8 years. These leukemias generally occur within 1 to 3 years of treatment.

#### Postmarketing Experience
- **Hematologic Reactions**: Postmarketing reports have identified sepsis and pneumonia as hematologic adverse reactions associated with ELLENCE.

### Conclusion
ELLENCE is associated with significant hematological toxicity risks, including severe myelosuppression, leukopenia, neutropenia, anemia, thrombocytopenia, and secondary malignancies such as AML and MDS. These risks necessitate careful monitoring and potential dose adjustments to manage and mitigate adverse hematologic reactions.",Most,Yes,1,1,,,
FERRIC PYROPHOSPHATE CITRATE,"### Summary of Hematological Toxicity Risks and Hematological Reactions for TRIFERIC AVNU

1. **Indications and Usage**:
   - **Statement**: Triferic AVNU is indicated for the replacement of iron to maintain hemoglobin in adult patients with hemodialysis-dependent chronic kidney disease (HDD-CKD).
   - **Association**: The drug is used to maintain hemoglobin levels, implying its role in managing hematological parameters.

2. **Warnings and Precautions**:
   - **Statement**: Hypersensitivity Reactions: Observe for signs and symptoms of hypersensitivity during and after hemodialysis and until clinically stable.
   - **Association**: The drug itself is associated with hypersensitivity reactions, which can include hematological symptoms such as hypotension and shock.

3. **Adverse Reactions**:
   - **Statement**: Most common adverse reactions (incidence ≥3%) include headache, peripheral edema, asthenia, AV fistula thrombosis, urinary tract infection, AV fistula site hemorrhage, pyrexia, fatigue, procedural hypotension, muscle spasms, pain in extremity, back pain, and dyspnea.
   - **Association**: The drug itself is associated with these adverse reactions, some of which (e.g., AV fistula thrombosis, AV fistula site hemorrhage) are directly related to hematological issues.

4. **Clinical Trials Experience**:
   - **Statement**: In clinical trials, adverse reactions leading to treatment discontinuation include headache, asthenia, dizziness, constipation, nausea, hypersensitivity reactions, intradialytic hypotension, pruritis, and pyrexia.
   - **Association**: The drug itself caused these adverse reactions, including intradialytic hypotension, which is a hematological reaction.

5. **Use in Specific Populations**:
   - **Statement**: In controlled clinical trials, 99 (29%) patients ≥ 65 years of age were treated with ferric pyrophosphate citrate. No overall differences in safety and efficacy were observed between older and younger patients in these trials.
   - **Association**: The drug itself did not show increased hematological toxicity in older patients compared to younger ones.

6. **Clinical Studies**:
   - **Statement**: The efficacy of ferric pyrophosphate citrate in patients with HDD-CKD was assessed in two randomized, single-blind, placebo-controlled clinical trials. Patients with hemoglobin of 9 g/dL to 12 g/dL with TSAT > 20% and serum ferritin concentrations > 200 mcg/L were enrolled.
   - **Association**: The drug itself was used to manage hematological parameters such as hemoglobin, TSAT, and serum ferritin.

7. **Changes from Baseline to End of Treatment in Hemoglobin, Ferritin, Reticulocyte Hgb (CHr), and Transferrin Saturation (TSAT)**:
   - **Statement**: The mean changes in hemoglobin (Hgb) and iron parameters in each treatment group from baseline to the end-of-treatment period for the ITT population were assessed.
   - **Association**: The drug itself was associated with changes in these hematological parameters, indicating its direct impact on hematological health.

### Conclusion
TRIFERIC AVNU is primarily associated with maintaining and managing hematological parameters in patients with HDD-CKD. The drug itself is linked to several hematological reactions and risks, including hypersensitivity reactions, AV fistula thrombosis, and changes in hemoglobin and iron parameters. These associations highlight the importance of monitoring hematological health during treatment with TRIFERIC AVNU.",Less,Yes,1,2,"again model is hallucinating a bit here. This senstence is wrong: The drug itself is associated with hypersensitivity reactions, which can include hematological symptoms such as hypotension and shock.
",,
FLOXURIDINE,"### Summary of Hematological Toxicity Risks and Reactions for Floxuridine

1. **General Precautions:**
   - **Statement:** ""Floxuridine is a highly toxic drug with a narrow margin of safety.""
   - **Association:** The drug itself is associated with high toxicity, including hematological risks.

2. **Therapy Discontinuation Criteria:**
   - **Statement:** ""Therapy is to be discontinued promptly whenever one of the following signs of toxicity appears: Leukopenia (WBC under 3500) or a rapidly falling white blood count, Thrombocytopenia (platelets under 100,000), Hemorrhage from any site.""
   - **Association:** The drug itself is associated with causing leukopenia, thrombocytopenia, and hemorrhage.

3. **Laboratory Tests:**
   - **Statement:** ""Careful monitoring of the white blood count and platelet count is recommended.""
   - **Association:** The drug itself necessitates monitoring due to its potential to cause hematological toxicity.

4. **Adverse Reactions:**
   - **Statement:** ""The more common laboratory abnormalities are anemia, leukopenia, thrombocytopenia.""
   - **Association:** The drug itself is associated with causing anemia, leukopenia, and thrombocytopenia.

5. **Overdosage:**
   - **Statement:** ""The anticipated manifestations would be... bone marrow depression (including thrombocytopenia, leukopenia, and agranulocytosis).""
   - **Association:** Overdosage of the drug itself is associated with causing bone marrow depression, thrombocytopenia, leukopenia, and agranulocytosis.

6. **Adverse Reactions Not Reported but Possible:**
   - **Statement:** ""The following adverse reactions have not been reported with floxuridine but have been noted following the administration of 5-fluorouracil... pancytopenia, agranulocytosis.""
   - **Association:** While not directly reported with floxuridine, similar drugs (5-fluorouracil) have caused pancytopenia and agranulocytosis, suggesting a potential risk.

### Conclusion
Floxuridine is associated with significant hematological toxicity risks, including leukopenia, thrombocytopenia, anemia, and bone marrow depression. These risks necessitate careful monitoring and may require discontinuation of therapy if severe toxicity is observed. Additionally, while not directly reported, similar drugs have caused severe hematological reactions, indicating a potential risk with floxuridine.",Most,Yes,1,1,,,
GALSULFASE,"The drug label for NAGLAZYME (galsulfase) does not explicitly mention hematological toxicity risks or hematological reactions in the provided sections. However, it does discuss various other risks and adverse reactions associated with the drug. Here is a summary of the relevant parts:

1. **Warnings and Precautions (Section 5)**:
   - **Anaphylaxis and Hypersensitivity Reactions (5.1)**: Life-threatening anaphylactic reactions have been observed during and up to 24 hours after infusion. The drug itself is associated with these reactions.
   - **Immune-Mediated Reactions (5.2)**: Immune complex-mediated reactions, including membranous glomerulonephritis, have been observed. The drug itself is associated with these reactions.
   - **Risk of Acute Cardiorespiratory Failure (5.3)**: Caution is advised for patients susceptible to fluid volume overload. The drug itself is associated with this risk.
   - **Acute Respiratory Complications (5.4)**: Sleep apnea and respiratory complications can occur, especially with antihistamine pretreatment. The drug itself is associated with these complications.
   - **Infusion Reactions (5.5)**: Infusion reactions, some severe, occurred in 56% of patients. The drug itself is associated with these reactions.
   - **Spinal or Cervical Cord Compression (5.6)**: This is a known complication of MPS VI and has been reported in patients treated with NAGLAZYME. The drug itself is associated with this risk.

2. **Adverse Reactions (Section 6)**:
   - **Clinical Trials Experience (6.1)**: Serious adverse reactions include apnea, pyrexia, and respiratory distress. Severe adverse reactions include chest pain, dyspnea, laryngeal edema, and conjunctivitis. The drug itself is associated with these reactions.
   - **Immunogenicity (6.2)**: 98% of patients developed anti-galsulfase IgG antibodies. The drug itself is associated with this immunogenicity.
   - **Postmarketing Experience (6.3)**: Serious infusion reactions include anaphylaxis, shock, hypotension, bronchospasm, and respiratory failure. Additional infusion reactions include pyrexia, erythema, pallor, bradycardia, tachycardia, hypoxia, cyanosis, tachypnea, and paresthesia. There has been a single case of membranous nephropathy and rare cases of thrombocytopenia reported. The drug itself is associated with these reactions.

3. **Use in Specific Populations (Section 8)**:
   - **Pregnancy (8.1)**: No evidence of harm to the fetus in animal studies. The drug itself is not associated with hematological risks in this context.
   - **Lactation (8.2)**: No data on the presence of galsulfase in human milk. The drug itself is not associated with hematological risks in this context.
   - **Pediatric Use (8.4)**: Safety results in infants were consistent with those observed in older patients. The drug itself is not associated with hematological risks in this context.
   - **Geriatric Use (8.5)**: No data on patients older than 29 years. The drug itself is not associated with hematological risks in this context.

4. **Clinical Studies (Section 14)**:
   - **Clinical Trials**: The drug showed improvement in walking and stair-climbing capacity. The drug itself is not associated with hematological risks in this context.

In summary, the drug label does not specifically mention hematological toxicity risks or reactions directly caused by NAGLAZYME. However, it does discuss various other serious adverse reactions and risks associated with the drug.",Less,No,1,2,,Need to clarify if autoimmune disease is a part of hematotoxity or not. This drug increases risk of some of the autoimmune disease. But doesn't have heme toxicity per se.,
GLIPIZIDE ER,"### Summary of Hematological Toxicity Risks and Reactions for Glipizide ER

1. **Hemolytic Anemia:**
   - **Sentence:** ""Treatment of patients with glucose 6-phosphate dehydrogenase (G6PD) deficiency with sulfonylurea agents can lead to hemolytic anemia.""
   - **Summary:** Glipizide, as a sulfonylurea agent, can cause hemolytic anemia in patients with G6PD deficiency.

2. **Postmarketing Reports:**
   - **Sentence:** ""In postmarketing reports, hemolytic anemia has also been reported in patients who did not have known G6PD deficiency.""
   - **Summary:** Glipizide has been associated with causing hemolytic anemia even in patients without known G6PD deficiency.

3. **Adverse Reactions with Immediate Release Glipizide and Other Sulfonylureas:**
   - **Sentence:** ""Hematologic: Leukopenia, agranulocytosis, thrombocytopenia, hemolytic anemia (see PRECAUTIONS), aplastic anemia and pancytopenia have been reported with sulfonylureas.""
   - **Summary:** Glipizide and other sulfonylureas have been associated with causing various hematological reactions, including leukopenia, agranulocytosis, thrombocytopenia, hemolytic anemia, aplastic anemia, and pancytopenia.

4. **Laboratory Tests:**
   - **Sentence:** ""The pattern of laboratory test abnormalities observed with glipizide was similar to that for other sulfonylureas.""
   - **Summary:** Glipizide has been associated with laboratory test abnormalities similar to those seen with other sulfonylureas, indicating potential hematological toxicity.

5. **Specific Laboratory Abnormalities:**
   - **Sentence:** ""Occasional mild to moderate elevations of SGOT, LDH, alkaline phosphatase, BUN and creatinine were noted.""
   - **Summary:** Glipizide has been associated with occasional mild to moderate elevations in certain laboratory tests, which may indicate hematological toxicity.

6. **Jaundice Report:**
   - **Sentence:** ""One case of jaundice was reported.""
   - **Summary:** Glipizide has been associated with a reported case of jaundice, which can be related to hematological issues.

7. **Uncertainty of Relationship:**
   - **Sentence:** ""The relationship of these abnormalities to glipizide is uncertain, and they have rarely been associated with clinical symptoms.""
   - **Summary:** While glipizide has been associated with these laboratory abnormalities, the direct causal relationship is uncertain, and clinical symptoms are rare.

### Conclusion
Glipizide ER has been associated with several hematological risks and reactions, including hemolytic anemia, leukopenia, agranulocytosis, thrombocytopenia, aplastic anemia, and pancytopenia. These associations are based on both clinical studies and postmarketing reports. However, the direct causal relationship for some laboratory abnormalities remains uncertain.",Most,Yes,1,1,,,
GLUTAMINE,"The drug label for Endari (L-glutamine oral powder) does not explicitly mention hematological toxicity risks or hematological reactions directly associated with the drug itself. However, it does provide some relevant information regarding the clinical context and adverse reactions observed during trials:

1. **Adverse Reactions (Section 6.1 Clinical Trials Experience)**:
   - The label states that serious adverse reactions were reported in both the Endari and placebo groups, but these were consistent with the underlying disease (sickle cell disease) rather than being directly attributed to Endari. Therefore, the drug itself was not associated with causing these serious adverse reactions.
   - Three deaths occurred in the Endari treatment group during the study, but none were considered related to Endari treatment. Thus, the drug itself was not associated with causing these deaths.

2. **Clinical Studies (Section 14 Clinical Studies)**:
   - The clinical trial evaluated the efficacy and safety of Endari in patients with sickle cell anemia or sickle β0-thalassemia. The study included patients who had 2 or more painful crises within 12 months prior to enrollment. The trial excluded patients with renal insufficiency or uncontrolled liver disease, but there is no specific mention of hematological toxicity risks directly caused by Endari.

In summary, the drug label does not provide evidence that Endari itself is associated with or causes hematological toxicity risks or hematological reactions. The adverse reactions and serious events reported were consistent with the underlying sickle cell disease rather than being directly linked to the drug.",No,No,1,1,,,
HEPARIN SODIUM IN SODIUM CHLORIDE,"### Summary of Hematological Toxicity Risks and Reactions for Heparin Sodium in 0.9% Sodium Chloride Injection

1. **Hemorrhage**:
   - **Association**: Hemorrhage, including fatal events, has occurred in patients receiving Heparin Sodium.
   - **Details**: Hemorrhage can occur at virtually any site in patients receiving heparin. Specific hemorrhagic complications include adrenal hemorrhage, ovarian hemorrhage, and retroperitoneal hemorrhage. A higher incidence of bleeding has been reported in patients, particularly women, over 60 years of age.

2. **Heparin-Induced Thrombocytopenia (HIT) and Heparin-Induced Thrombocytopenia and Thrombosis (HITT)**:
   - **Association**: HIT is a serious immune-mediated reaction resulting from irreversible aggregation of platelets due to heparin.
   - **Details**: HIT occurs in patients treated with heparin and is due to the development of antibodies to a platelet Factor 4-heparin complex. HIT may progress to HITT, which includes serious thromboembolic events such as deep vein thrombosis, pulmonary embolism, and stroke. Thrombosis development shortly after documenting thrombocytopenia is a characteristic finding in almost half of all patients with HIT.

3. **Thrombocytopenia**:
   - **Association**: Thrombocytopenia has been reported to occur in patients receiving heparin.
   - **Details**: It can occur 2 to 20 days following the onset of heparin therapy. If the platelet count falls below 100,000/mm³ or if recurrent thrombosis develops, heparin should be promptly discontinued.

4. **Hypersensitivity Reactions**:
   - **Association**: Hypersensitivity reactions, including thrombocytopenia, have been reported with heparin.
   - **Details**: These reactions include chills, fever, urticaria, asthma, rhinitis, lacrimation, and anaphylactoid reactions. Patients with documented hypersensitivity to heparin should be given the drug only in clearly life-threatening situations.

5. **Heparin Resistance**:
   - **Association**: Increased resistance to heparin is frequently encountered in conditions such as thrombosis and thrombophlebitis.
   - **Details**: This resistance may necessitate dose adjustments based on coagulation test monitoring.

6. **Laboratory Tests**:
   - **Association**: Periodic platelet counts, hematocrits, and tests for occult blood in stool are recommended during the entire course of heparin therapy.
   - **Details**: These tests are necessary to monitor for hematological toxicity and manage any adverse reactions promptly.

7. **Adverse Reactions**:
   - **Association**: Hemorrhage is the chief complication that may result from heparin therapy.
   - **Details**: Specific hemorrhagic complications include adrenal hemorrhage, ovarian hemorrhage, and retroperitoneal hemorrhage. Thrombocytopenia, including HIT and HITT, has also been reported.

8. **Postmarketing Experience**:
   - **Association**: Hemorrhage, HIT, HITT, and thrombocytopenia have been identified during post-approval use of heparin sodium.
   - **Details**: These reactions are reported voluntarily and may not always be reliably estimated in frequency.

### Conclusion
Heparin Sodium in 0.9% Sodium Chloride Injection is associated with several hematological risks, including hemorrhage, HIT, HITT, thrombocytopenia, and hypersensitivity reactions. These risks necessitate careful monitoring and management during therapy.",Most,Yes,1,1,,,
HUMAN SECRETIN,"The provided drug label for CHIRHOSTIM® (human secretin) does not mention any hematological toxicity risks or hematological reactions. The label primarily discusses the indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, and other relevant information about the drug. 

To summarize:
- There are no sections or sentences in the provided drug label that discuss hematological toxicity risks or hematological reactions associated with CHIRHOSTIM®.
- The adverse reactions listed (nausea, vomiting, flushing, and upset stomach) do not include any hematological issues.
- The warnings and precautions do not mention any hematological risks.

Therefore, based on the provided information, CHIRHOSTIM® is not associated with or reported to cause any hematological toxicity risks or reactions.",No,No,1,1,,,
INDIGOTINDISULFONATE SODIUM,"The provided drug label for BLUDIGO (indigotindisulfonate sodium injection) does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on cardiovascular reactions, hypersensitivity reactions, and interference with oximetry measurements. 

Here is a summary of the relevant sections that might indirectly relate to hematological concerns, though they do not explicitly state hematological toxicity:

1. **Cardiovascular Reactions (Section 5.1)**:
   - Severe or life-threatening cardiovascular reactions, including cardiac arrest, arrhythmia, asystole, second-degree atrioventricular block, hypotension, elevation in blood pressure, bradycardia, and tachycardia, have been reported. These reactions are associated with the drug.

2. **Hypersensitivity Reactions (Section 5.2)**:
   - Serious anaphylactic reactions with hypotension, dyspnea, bronchospasm, urticaria, or erythema have been reported. These reactions are associated with the drug.

3. **Adverse Reactions (Section 6.1 and 6.2)**:
   - Adverse reactions reported in clinical trials include constipation, nausea, vomiting, abdominal pain, pyrexia, ALT increase, and dysuria. These reactions are associated with the drug.
   - Postmarketing experience includes cardiovascular disorders and immune system disorders such as anaphylactic reactions with hypotension, dyspnea, bronchospasm, urticaria, and erythema. These reactions are associated with the drug.

4. **Use in Specific Populations (Section 8.6)**:
   - BLUDIGO is not recommended for use in patients with eGFR < 30 mL/min due to renal impairment. This recommendation is associated with the drug.

In summary, the drug label does not provide specific information on hematological toxicity risks or hematological reactions directly caused by BLUDIGO. The focus is on cardiovascular and hypersensitivity reactions, which are associated with the drug.",No,No,1,1,,,
INEBILIZUMAB,"### Summary of Hematological Toxicity Risks and Hematological Reactions for UPLIZNA

1. **Reduction in Immunoglobulins (Section 5.3)**
   - **Sentence:** ""There may be a progressive and prolonged hypogammaglobulinemia or decline in the levels of total and individual immunoglobulins such as immunoglobulins G and M (IgG and IgM) with continued UPLIZNA treatment.""
   - **Summary:** UPLIZNA itself is associated with a progressive and prolonged decline in immunoglobulin levels.

2. **Clinical Trial Experience (Section 6.1)**
   - **Sentence:** ""The proportion of patients treated with UPLIZNA who had IgG levels below the lower limit of normal at year 1 was 6.6% and at year 2 was 13%.""
   - **Summary:** UPLIZNA itself caused a reduction in IgG levels below the normal limit in a proportion of patients.
   - **Sentence:** ""The proportion of patients treated with UPLIZNA who had IgM levels below the lower limit of normal at year 1 was 31% and at year 2 was 42%.""
   - **Summary:** UPLIZNA itself caused a reduction in IgM levels below the normal limit in a significant proportion of patients.
   - **Sentence:** ""Neutrophil counts between 1.0-1.5 x10^9/L were observed in 6.9% of UPLIZNA-treated patients versus 1.9% of patients who received placebo.""
   - **Summary:** UPLIZNA itself was associated with a reduction in neutrophil counts in a proportion of patients.
   - **Sentence:** ""Neutrophil counts between 0.5-1.0 x10^9/L were observed in 1.9% of patients treated with UPLIZNA compared to no patients who received placebo.""
   - **Summary:** UPLIZNA itself caused a reduction in neutrophil counts to a lower range in a small proportion of patients.
   - **Sentence:** ""At the end of the 6.5-month randomized, controlled period, the proportion of patients with a neutrophil count below the limit of normal was 12% for patients treated with UPLIZNA compared to 4.2% for patients who received placebo.""
   - **Summary:** UPLIZNA itself caused a reduction in neutrophil counts below the normal limit in a proportion of patients.
   - **Sentence:** ""A reduction in lymphocyte counts was observed more frequently in patients treated with UPLIZNA compared to those who received placebo.""
   - **Summary:** UPLIZNA itself was associated with a reduction in lymphocyte counts in a proportion of patients.
   - **Sentence:** ""At the end of the 6.5-month randomized, controlled period, the proportion of patients with a lymphocyte count below the limit of normal was 5.3% for patients treated with UPLIZNA compared to 4.2% for patients who received placebo.""
   - **Summary:** UPLIZNA itself caused a reduction in lymphocyte counts below the normal limit in a proportion of patients.

3. **Medication Guide (Section: What are the possible side effects of UPLIZNA?)**
   - **Sentence:** ""UPLIZNA may cause a decrease in some types of blood cells. Your healthcare provider will do blood tests to check your blood cell counts.""
   - **Summary:** UPLIZNA itself may cause a decrease in certain types of blood cells, necessitating regular blood tests.

### Conclusion
UPLIZNA is associated with several hematological risks, including reductions in immunoglobulin levels (IgG and IgM), neutrophil counts, and lymphocyte counts. These reductions can lead to levels falling below the normal limit, and the drug itself is the cause of these hematological reactions. Regular monitoring of blood cell counts is recommended during treatment with UPLIZNA.",Most,Yes,1,1,,,
