generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries
CHLORZOXAZONE,"The drug label for Chlorzoxazone does not explicitly mention hematological toxicity risks or hematological reactions. However, it does discuss various adverse reactions and precautions, which can be summarized as follows:

1. **Adverse Reactions**:
   - ""Rarely, allergic-type skin rashes, petechiae, or ecchymoses may develop during treatment.""
     - **Summary**: The drug itself was associated with rare instances of allergic-type skin rashes, petechiae, or ecchymoses.

2. **Warnings and Precautions**:
   - There is no specific mention of hematological toxicity risks or reactions in the warnings and precautions sections.

3. **Overdosage**:
   - The overdosage section does not mention hematological toxicity risks or reactions.

In summary, the only mention related to hematological reactions is the rare development of petechiae or ecchymoses, which are associated with the drug itself. There are no other explicit mentions of hematological toxicity risks or reactions in the provided drug label.",Less,No,1,1,
CIPROFLOXACIN,"The provided drug label for Cetraxal (Ciprofloxacin otic solution) 0.2% does not mention any hematological toxicity risks or hematological reactions. The label primarily focuses on the indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, and specific population usage related to the otic use of the drug. 

To summarize:
- **Indications and Usage**: No mention of hematological toxicity.
- **Dosage and Administration**: No mention of hematological toxicity.
- **Dosage Forms and Strengths**: No mention of hematological toxicity.
- **Contraindications**: No mention of hematological toxicity.
- **Warnings and Precautions**: No mention of hematological toxicity.
- **Adverse Reactions**: Lists common adverse reactions such as application site pain, ear pruritus, fungal ear superinfection, and headache, but no hematological reactions.
- **Use in Specific Populations**: No mention of hematological toxicity.
- **Description**: No mention of hematological toxicity.
- **Clinical Pharmacology**: No mention of hematological toxicity.
- **Non-Clinical Toxicology**: No mention of hematological toxicity.
- **Clinical Studies**: No mention of hematological toxicity.
- **How Supplied/Storage and Handling**: No mention of hematological toxicity.
- **Patient Counseling Information**: No mention of hematological toxicity.

Therefore, based on the provided drug label, Cetraxal is not associated with or reported to cause any hematological toxicity risks or hematological reactions.",No,No,1,1,
CLOMIPRAMINE HYDROCHLORIDE,"### Summary of Hematological Toxicity Risks and Reactions for Clomipramine Hydrochloride Capsules

1. **Hematologic Changes**:
   - **No severe hematologic toxicity in premarketing experience**: The drug itself was not associated with severe hematologic toxicity during premarketing.
   - **Postmarketing reports of leukopenia, agranulocytosis, thrombocytopenia, anemia, and pancytopenia**: The drug itself was associated with these hematological reactions in postmarketing reports.
   - **Recommendation for leukocyte and differential blood counts**: The drug itself necessitates monitoring blood counts in patients who develop fever and sore throat during treatment.

2. **Adverse Reactions**:
   - **Purpura (3%)**: The drug itself was associated with this reaction in clinical trials.
   - **Anemia (2%)**: The drug itself was associated with this reaction in clinical trials.

3. **Other Events Observed During Premarketing Evaluation**:
   - **Infrequent: Lymphadenopathy**: The drug itself was associated with this reaction.
   - **Rare: Leukemoid reaction, lymphoma-like disorder, marrow depression**: The drug itself was associated with these rare reactions.

4. **Postmarketing Experience**:
   - **Immune System Disorders: Drug Rash with Eosinophilia and Systemic Symptoms (DRESS)**: The drug itself was associated with this reaction.
   - **Metabolism and Nutrition Disorders: Hyponatremia**: The drug itself was associated with this reaction.
   - **Endocrine Disorders: Syndrome of inappropriate antidiuretic hormone secretion (SIADH)**: The drug itself was associated with this reaction.

### Conclusion
Clomipramine Hydrochloride Capsules have been associated with various hematological risks and reactions, including leukopenia, agranulocytosis, thrombocytopenia, anemia, pancytopenia, purpura, lymphadenopathy, leukemoid reaction, lymphoma-like disorder, and marrow depression. These associations were observed in both premarketing and postmarketing experiences, necessitating careful monitoring of blood counts in patients undergoing treatment.",Most,Yes,1,1,
COAGULATION FACTOR VIIA RECOMBINANT HUMAN,"### Summary of Hematological Toxicity Risks and Hematological Reactions for SEVENFACT

1. **Thrombosis Warning**:
   - **Sentence**: ""Serious arterial and venous thrombotic events may occur following administration of SEVENFACT.""
   - **Summary**: SEVENFACT is associated with the risk of serious arterial and venous thrombotic events.

2. **Patient Monitoring**:
   - **Sentence**: ""Monitor patients for signs or symptoms of activation of the coagulation system and for thrombosis.""
   - **Summary**: Patients receiving SEVENFACT should be monitored for signs of coagulation system activation and thrombosis, indicating a potential risk associated with the drug.

3. **Risk Factors for Thrombosis**:
   - **Sentence**: ""Patients with hemophilia A or B with inhibitors who have other risk factors for thrombosis may be at increased risk of serious arterial and venous thrombotic events.""
   - **Summary**: SEVENFACT may increase the risk of serious thrombotic events in patients with additional risk factors.

4. **Clinical Trials and Thrombosis**:
   - **Sentence**: ""There is limited information about the safety of SEVENFACT in patients with a history of arterial or venous thromboembolic disease, because such patients were excluded from SEVENFACT trials.""
   - **Summary**: The safety of SEVENFACT in patients with a history of thromboembolic disease is not well-established, indicating a potential risk.

5. **Thrombotic Reactions in Clinical Trials**:
   - **Sentence**: ""Serious arterial and venous thrombotic reactions can occur with SEVENFACT. Such reactions have been reported in clinical trials and post-marketing surveillance with a similar class of products.""
   - **Summary**: SEVENFACT is associated with serious thrombotic reactions, as observed in clinical trials and post-marketing surveillance of similar products.

6. **Increased Risk of Thromboembolic Events**:
   - **Sentence**: ""The following patients may have increased risk of thromboembolic events with use of SEVENFACT: History of congenital or acquired hemophilia receiving concomitant treatment with aPCC/PCC (activated or non-activated prothrombin complex) or other hemostatic agents.""
   - **Summary**: SEVENFACT may increase the risk of thromboembolic events in patients with a history of hemophilia receiving other hemostatic treatments.

7. **Monitoring for Thrombosis**:
   - **Sentence**: ""Monitor patients who receive SEVENFACT for the development of signs and symptoms of activation of the coagulation system or thrombosis.""
   - **Summary**: Patients on SEVENFACT should be monitored for coagulation activation and thrombosis, indicating a potential risk associated with the drug.

8. **Neutralizing Antibodies**:
   - **Sentence**: ""Neutralizing antibodies may occur with the use of SEVENFACT.""
   - **Summary**: SEVENFACT may cause the development of neutralizing antibodies, which can affect its efficacy.

9. **Clinical Trials and Neutralizing Antibodies**:
   - **Sentence**: ""In the studies performed, no patients tested positive for neutralizing antibodies.""
   - **Summary**: In clinical trials, SEVENFACT was not associated with the development of neutralizing antibodies.

10. **Laboratory Tests**:
    - **Sentence**: ""Laboratory coagulation parameters (PT/INR, aPTT, FVII:C) do not correlate with clinical response to SEVENFACT treatment.""
    - **Summary**: SEVENFACT's effectiveness is not reliably predicted by standard coagulation tests, indicating a potential complexity in monitoring its hematological effects.

11. **Adverse Reactions**:
    - **Sentence**: ""The most common adverse reactions (incidence ≥1%) reported in clinical trials for SEVENFACT were headache, dizziness, infusion-site discomfort, infusion-site hematoma, infusion-related reaction, and fever.""
    - **Summary**: SEVENFACT is associated with infusion-site hematoma and infusion-related reactions, which are hematological in nature.

12. **Drug Interactions**:
    - **Sentence**: ""Clinical experience with pharmacologic use of FVIIa-containing products indicates an elevated risk of serious thrombotic events when used simultaneously with activated prothrombin complex concentrates.""
    - **Summary**: SEVENFACT, when used with activated prothrombin complex concentrates, is associated with an elevated risk of serious thrombotic events.

13. **Overdosage**:
    - **Sentence**: ""Doses greater than 900 mcg/kg per 24 hours may be associated with an increased risk of thromboembolic events.""
    - **Summary**: Overdosage of SEVENFACT is associated with an increased risk of thromboembolic events.

14. **Clinical Studies**:
    - **Sentence**: ""The proportion of mild or moderate bleeding events with hemostatic efficacy at 12 hours was 82% in the 75 mcg/kg dose regimen group and was 91% in the 225 mcg/kg dose regimen group.""
    - **Summary**: SEVENFACT is effective in controlling mild to moderate bleeding events, indicating its hemostatic efficacy.

15. **Patient Counseling Information**:
    - **Sentence**: ""Advise patients about the signs of thrombosis and to seek medical help if the following occur: New-onset swelling and pain in the limbs or abdomen, new-onset chest pain, shortness of breath, loss of sensation or motor power, or altered consciousness or speech.""
    - **Summary**: Patients on SEVENFACT should be aware of the signs of thrombosis, indicating a potential risk associated with the drug.

### Conclusion
SEVENFACT is associated with several hematological risks, primarily related to thrombotic events and the potential development of neutralizing antibodies. Patients should be closely monitored for signs of thrombosis and other hematological reactions during treatment.",Most,Yes,1,1,
CORTICORELIN OVINE TRIFLUTATE,"The drug label for ACTHREL® (corticorelin ovine triflutate for injection) does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on the pharmacodynamics, pharmacokinetics, indications, usage, contraindications, precautions, adverse reactions, and administration of the drug. 

Here is a summary of the relevant sections that might indirectly relate to hematological concerns, although they do not specifically address hematological toxicity:

1. **Adverse Reactions**:
   - Hypersensitivity reactions have been reported, including urticaria, flushing, dyspnea, wheezing, and angioedema. These reactions are not specifically hematological but are immune responses that could potentially involve hematological components.
   - Higher doses (>3 mcg/kg) are associated with more prolonged flushing, tachycardia, hypotension, dyspnea, and ""chest compression"" or tightness. These are cardiovascular and respiratory reactions, not directly hematological.

2. **Precautions**:
   - The severity of adverse effects appears to be dose-dependent, with higher doses associated with transient tachycardia, decreased blood pressure, loss of consciousness, and asystole. These are cardiovascular effects, not hematological.
   - Hypersensitivity reactions include urticaria and angioedema, which involve immune responses but are not specifically hematological toxicity.

3. **Drug Interactions**:
   - The use of heparin solution to maintain i.v. cannula patency during the corticorelin test is not recommended due to a possible interaction that may cause a major hypotensive reaction. This interaction is more related to cardiovascular effects rather than hematological toxicity.

4. **Contraindications**:
   - ACTHREL is contraindicated in patients with a history of hypersensitivity reaction to ovine corticorelin or any of its excipients. Hypersensitivity reactions can involve various systems, including hematological components, but the label does not specify hematological toxicity.

In summary, the drug label does not provide specific information on hematological toxicity risks or reactions directly caused by ACTHREL®. The adverse reactions and precautions mentioned are primarily related to hypersensitivity, cardiovascular, and respiratory effects.",No,No,1,1,
CRIZOTINIB,"### Summary of Hematological Toxicity Risks and Reactions for XALKORI (Crizotinib)

#### Warnings and Precautions
1. **Hematologic Adverse Reactions in Pediatric and Young Adult Patients with ALCL or Pediatric Patients with IMT**:
   - **XALKORI can cause severe hematologic toxicities** in pediatric and young adult patients with ALCL or pediatric patients with IMT. (The drug itself is associated with this risk.)

#### Adverse Reactions
1. **Clinical Trials Experience**:
   - **Neutropenia, lymphopenia, and thrombocytopenia** were common Grade 3–4 laboratory abnormalities (≥15%) in patients with ALCL. (The drug itself is associated with these reactions.)
   - **Neutropenia** was the most common Grade 3 or 4 laboratory abnormality (>15%) in pediatric patients with IMT. (The drug itself is associated with this reaction.)

2. **Relapsed or Refractory, Systemic ALK-Positive ALCL - Study ADVL0912**:
   - **Neutropenia** occurred in 100% of patients with ALCL, with 77% experiencing Grade 3–4 neutropenia. (The drug itself is associated with this reaction.)
   - **Lymphopenia** occurred in 58% of patients with ALCL, with 38% experiencing Grade 3–4 lymphopenia. (The drug itself is associated with this reaction.)
   - **Thrombocytopenia** occurred in 38% of patients with ALCL, with 19% experiencing Grade 3–4 thrombocytopenia. (The drug itself is associated with this reaction.)
   - **Anemia** occurred in 54% of patients with ALCL, with 3.8% experiencing Grade 3–4 anemia. (The drug itself is associated with this reaction.)

3. **Unresectable, Recurrent, or Refractory ALK-Positive IMT - Study ADVL0912**:
   - **Neutropenia** occurred in 64% of pediatric patients with IMT, with 36% experiencing Grade 3–4 neutropenia. (The drug itself is associated with this reaction.)

#### Dosage Modifications for Adverse Reactions
1. **Recommended Dosage Modifications for Hematologic Adverse Reactions for Adult Patients with NSCLC or IMT**:
   - **Grade 3 hematologic adverse reactions**: Withhold until recovery to Grade 2 or less, then resume at the same dosage. (The drug itself is associated with this reaction.)
   - **Grade 4 hematologic adverse reactions**: Withhold until recovery to Grade 2 or less, then resume at the next lower dosage. (The drug itself is associated with this reaction.)

2. **Recommended Dosage Modifications for Hematologic Adverse Reactions in Pediatric and Young Adult Patients with ALCL or Pediatric Patients with IMT**:
   - **Absolute Neutrophil Count (ANC) less than 0.5 x 10^9/L**: Withhold until recovery to ANC greater than 1.0 x 10^9/L, then resume at the next lower dosage. (The drug itself is associated with this reaction.)
   - **Platelet Count 25 to 50 x 10^9/L with concurrent bleeding**: Withhold until recovery to platelet count greater than 50 x 10^9/L and bleeding resolves, then resume at the same dosage. (The drug itself is associated with this reaction.)
   - **Platelet Count less than 25 x 10^9/L**: Withhold until recovery to platelet count greater than 50 x 10^9/L, then resume at the next lower dosage. (The drug itself is associated with this reaction.)
   - **Anemia (Hemoglobin less than 8 g/dL)**: Withhold until recovery to hemoglobin 8 g/dL or more, then resume at the same dosage. (The drug itself is associated with this reaction.)
   - **Life-threatening anemia**: Withhold until recovery to hemoglobin 8 g/dL or more, then resume at the next lower dosage. (The drug itself is associated with this reaction.)

#### Patient Counseling Information
1. **Hematologic Toxicity**:
   - Inform patients to immediately report symptoms of hematologic toxicity. (The drug itself is associated with this risk.)

### Conclusion
XALKORI (crizotinib) is associated with several hematological toxicity risks and reactions, including neutropenia, lymphopenia, thrombocytopenia, and anemia. These adverse reactions are significant in both adult and pediatric populations, particularly in patients with ALCL and IMT. The drug label provides detailed guidance on monitoring, managing, and modifying dosages in response to these hematological adverse reactions.",Most,Yes,1,1,
DACOMITINIB,"The drug label for VIZIMPRO (dacomitinib) includes information on hematological toxicity risks and reactions in the following sections:

1. **Adverse Reactions (6.1 Clinical Trials Experience)**:
   - The label mentions that anemia and lymphopenia were observed as laboratory abnormalities worsening from baseline in more than 20% of patients in the ARCHER 1050 clinical trial. Specifically:
     - **Anemia**: 44% of patients experienced anemia, with 0.9% experiencing Grade 3 or 4 anemia. This indicates that the drug itself was associated with causing anemia.
     - **Lymphopenia**: 42% of patients experienced lymphopenia, with 6% experiencing Grade 3 or 4 lymphopenia. This indicates that the drug itself was associated with causing lymphopenia.

2. **Table 4. Laboratory Abnormalities Worsening from Baseline in >20% of Patients in ARCHER 1050**:
   - This table provides detailed percentages of patients experiencing hematological abnormalities:
     - **Anemia**: 44% of patients experienced anemia, with 0.9% experiencing Grade 3 or 4 anemia. This confirms that the drug itself was associated with causing anemia.
     - **Lymphopenia**: 42% of patients experienced lymphopenia, with 6% experiencing Grade 3 or 4 lymphopenia. This confirms that the drug itself was associated with causing lymphopenia.

In summary, the drug VIZIMPRO (dacomitinib) was associated with causing hematological risks, specifically anemia and lymphopenia, in patients during clinical trials.",Most,Yes,1,1,
DEFIBROTIDE SODIUM,"### Summary of Hematological Toxicity Risks and Reactions for DEFITELIO

1. **Hemorrhage Risk**:
   - **Sentence**: ""DEFITELIO increased the activity of fibrinolytic enzymes in vitro, and it may increase the risk of bleeding in patients with VOD after hematopoietic stem-cell transplantation (HSCT).""
   - **Summary**: DEFITELIO itself may increase the risk of bleeding in patients with VOD after HSCT.

2. **Monitoring for Bleeding**:
   - **Sentence**: ""Do not initiate DEFITELIO in patients with active bleeding. Monitor patients for signs of bleeding.""
   - **Summary**: DEFITELIO itself should not be initiated in patients with active bleeding, and patients on DEFITELIO should be monitored for signs of bleeding.

3. **Discontinuation Due to Bleeding**:
   - **Sentence**: ""If patients on DEFITELIO develop bleeding, discontinue DEFITELIO, treat the underlying cause, and provide supportive care until the bleeding has stopped.""
   - **Summary**: DEFITELIO itself should be discontinued if bleeding develops in patients.

4. **Concomitant Use with Anticoagulants**:
   - **Sentence**: ""Concomitant use of DEFITELIO and a systemic anticoagulant or fibrinolytic therapy (not including use for routine maintenance or reopening of central venous lines) may increase the risk of bleeding.""
   - **Summary**: DEFITELIO itself, when used with systemic anticoagulants or fibrinolytic therapy, may increase the risk of bleeding.

5. **Adverse Reactions Leading to Discontinuation**:
   - **Sentence**: ""Adverse reactions leading to permanent discontinuation included pulmonary alveolar hemorrhage in 5 (5%) patients; pulmonary hemorrhage, hypotension, catheter site hemorrhage, and multi-organ failure, each in 3 (3%) patients; and cerebral hemorrhage and sepsis, each in 2 (2%) patients.""
   - **Summary**: DEFITELIO itself was associated with adverse reactions leading to permanent discontinuation, including various types of hemorrhage.

6. **Common Adverse Reactions**:
   - **Sentence**: ""The most common adverse reactions (incidence ≥10% and independent of causality) were hypotension, diarrhea, vomiting, nausea, and epistaxis.""
   - **Summary**: DEFITELIO itself was associated with common adverse reactions, including epistaxis (nosebleeds).

7. **Serious Adverse Reactions**:
   - **Sentence**: ""The most common serious adverse reactions (incidence ≥5% and independent of causality) were hypotension (11%) and pulmonary alveolar hemorrhage (7%).""
   - **Summary**: DEFITELIO itself was associated with serious adverse reactions, including pulmonary alveolar hemorrhage.

8. **Hemorrhage Events**:
   - **Sentence**: ""Hemorrhage events of any type and any grade were reported for 104 (59%) of the patients, and the events were grade 4-5 in 35 (20%).""
   - **Summary**: DEFITELIO itself was associated with hemorrhage events of various types and grades in a significant proportion of patients.

9. **Drug Interactions**:
   - **Sentence**: ""DEFITELIO may enhance the pharmacodynamic activity of antithrombotic/fibrinolytic drugs such as heparin or alteplase.""
   - **Summary**: DEFITELIO itself may enhance the activity of antithrombotic/fibrinolytic drugs, increasing the risk of bleeding.

10. **Clinical Trials Experience**:
    - **Sentence**: ""The safety of DEFITELIO was determined in 176 adult and pediatric patients with hepatic VOD with pulmonary and/or renal dysfunction following HSCT who were treated with DEFITELIO 6.25 mg/kg every 6 hours.""
    - **Summary**: DEFITELIO itself was evaluated for safety in clinical trials involving patients with hepatic VOD and associated dysfunctions.

11. **Adverse Reactions in Clinical Trials**:
    - **Sentence**: ""The most common adverse reactions (incidence ≥10% and independent of causality) were hypotension, diarrhea, vomiting, nausea, and epistaxis.""
    - **Summary**: DEFITELIO itself was associated with common adverse reactions, including epistaxis, in clinical trials.

12. **Serious Adverse Reactions in Clinical Trials**:
    - **Sentence**: ""The most common serious adverse reactions (incidence ≥5% and independent of causality) were hypotension (11%) and pulmonary alveolar hemorrhage (7%).""
    - **Summary**: DEFITELIO itself was associated with serious adverse reactions, including pulmonary alveolar hemorrhage, in clinical trials.

13. **Hemorrhage Events in Clinical Trials**:
    - **Sentence**: ""Hemorrhage events of any type and any grade were reported for 104 (59%) of the patients, and the events were grade 4-5 in 35 (20%).""
    - **Summary**: DEFITELIO itself was associated with hemorrhage events of various types and grades in clinical trials.

### Conclusion
DEFITELIO is associated with an increased risk of bleeding and various hemorrhagic events. It should be used with caution, particularly in patients with active bleeding or those receiving anticoagulant or fibrinolytic therapy. Monitoring for signs of bleeding is essential, and discontinuation may be necessary if significant bleeding occurs.",Most,Yes,1,1,
DESLORATADINE,"The provided drug label for CLARINEX (desloratadine) does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on the drug's indications, dosage, contraindications, warnings, adverse reactions, and pharmacokinetics, but it does not include any specific information about hematological toxicity or reactions.

To summarize:

1. **Contraindications**: The label mentions hypersensitivity to desloratadine or any of its ingredients but does not mention hematological toxicity.
2. **Warnings and Precautions**: The label discusses hypersensitivity reactions such as rash, pruritus, urticaria, edema, dyspnea, and anaphylaxis but does not mention hematological reactions.
3. **Adverse Reactions**: The label lists common adverse reactions like pharyngitis, dry mouth, myalgia, fatigue, somnolence, and dysmenorrhea but does not include hematological reactions.
4. **Clinical Trials Experience**: The label provides data on adverse events from clinical trials but does not report any hematological toxicity or reactions.
5. **Post-Marketing Experience**: The label mentions adverse events reported during the marketing of desloratadine, such as tachycardia, palpitations, dyspnea, rash, pruritus, psychomotor hyperactivity, movement disorders, seizures, hypersensitivity reactions, elevated liver enzymes, hepatitis, and increased appetite, but does not include hematological reactions.

In conclusion, the drug label for CLARINEX does not associate the drug with hematological toxicity risks or hematological reactions.",No,No,1,1,
DILTIAZEM HCI,"The drug label for Diltiazem HCI for Injection does not explicitly mention hematological toxicity risks or reactions directly associated with the drug itself. However, it does list some hematological reactions observed with oral diltiazem, which may also be relevant for the injectable form. Here is a summary of the relevant parts:

1. **Adverse Reactions (Oral Diltiazem)**
   - **Leukopenia**: This condition, characterized by a reduced white blood cell count, has been associated with oral diltiazem.
   - **Thrombocytopenia**: This condition, characterized by a reduced platelet count, has also been associated with oral diltiazem.
   - **Hemolytic Anemia**: This condition, characterized by the destruction of red blood cells, has been associated with oral diltiazem.

These reactions were observed with oral diltiazem and may occur with the injectable form, although they were not specifically noted in the clinical trials for the injectable form.",Less,Yes,1,1,
DIMERCAPROL,"### Summary of Hematological Toxicity Risks and Reactions for Dimercaprol Injection, USP

1. **Warnings Section:**
   - **Sentence:** ""A transient reduction of the percentage of polymorphonuclear leukocytes may also be observed.""
   - **Summary:** The drug itself is associated with a temporary decrease in the percentage of polymorphonuclear leukocytes.

2. **Adverse Reactions Section:**
   - **Sentence:** ""One of the most consistent responses to Dimercaprol Injection USP is a rise in blood pressure accompanied by tachycardia.""
   - **Summary:** This sentence does not discuss hematological toxicity.
   - **Sentence:** ""This rise is roughly proportional to the dose administered.""
   - **Summary:** This sentence does not discuss hematological toxicity.
   - **Sentence:** ""Doses larger than those recommended may cause other transitory signs and symptoms in approximate order of frequency as follows: (1) nausea and, in some instance, vomiting; (2) headache; (3) a burning sensation in the lips, mouth and throat; (4) a feeling of constriction, even pain, in the throat, chest, or hands; (5) conjunctivitis, lacrimation, blepharal spasm, rhinorrhea, and salivation; (6) tingling of the hands; (7) a burning sensation in the penis; (8) sweating of the forehead, hands and other areas; (9) abdominal pain; and (10) occasional appearance of painful sterile abscesses.""
   - **Summary:** This sentence does not discuss hematological toxicity.

### Conclusion
The drug label for Dimercaprol Injection, USP, specifically mentions a transient reduction in the percentage of polymorphonuclear leukocytes as a hematological reaction associated with the drug. No other hematological toxicity risks or reactions are discussed in the provided sections of the drug label.",Less,Yes,1,1,
ESKETAMINE HYDROCHLORIDE,"The provided drug label for SPRAVATO (esketamine) nasal spray does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on other types of risks and adverse reactions, such as sedation, dissociation, respiratory depression, abuse and misuse, suicidal thoughts and behaviors, increases in blood pressure, cognitive impairment, and bladder problems. 

To summarize, there are no sections in the provided drug label that discuss hematological toxicity risks or hematological reactions associated with SPRAVATO.",No,No,1,1,
FLAVOXATE HYDROCHLORIDE,"The drug label for Flavoxate Hydrochloride Tablets 100 mg mentions hematological toxicity risks and reactions in the following sections:

1. **Adverse Reactions:**
   - **Hematologic:**
     - ""Leukopenia (one case which was reversible upon discontinuation of the drug).""
       - **Summary:** The drug was associated with leukopenia, but this condition was reversible upon discontinuation of the drug.

2. **Allergic:**
   - ""Urticaria and other dermatoses, eosinophilia and hyperpyrexia.""
     - **Summary:** The drug was associated with eosinophilia, which is an increase in the number of eosinophils in the blood, indicating a hematological reaction.

In summary, the drug label indicates that Flavoxate Hydrochloride has been associated with leukopenia and eosinophilia as hematological reactions.",Less,Yes,1,1,
FLUDEOXYGLUCOSE F-18,"The drug label for Fludeoxyglucose F 18 Injection, USP does not explicitly discuss hematological toxicity risks or hematological reactions. The primary focus of the warnings and precautions sections is on radiation risks, blood glucose abnormalities, and hypersensitivity reactions. Here is a summary of the relevant sections:

1. **Warnings and Precautions:**
   - **Radiation Risks:** The label mentions that radiation-emitting products, including Fludeoxyglucose F 18 Injection, may increase the risk for cancer, especially in pediatric patients. This is a general radiation risk and not specific to hematological toxicity. The drug itself is associated with this risk due to its radioactive nature.
   - **Blood Glucose Abnormalities:** Suboptimal imaging may occur in patients with inadequately regulated blood glucose levels. This is related to the drug's interaction with glucose metabolism but does not indicate hematological toxicity.

2. **Adverse Reactions:**
   - **Hypersensitivity Reactions:** The label notes that hypersensitivity reactions with pruritus, edema, and rash have been reported. Emergency resuscitation equipment and personnel should be immediately available. These reactions are not hematological in nature and are associated with the drug.

3. **Use in Specific Populations:**
   - **Pregnancy Category C:** The label advises considering alternative diagnostic tests in pregnant women due to the lack of data on fetal harm. This is a precautionary measure and not specific to hematological toxicity.
   - **Nursing Mothers:** The label suggests using alternatives to breastfeeding for at least 10 half-lives of radioactive decay if the drug is administered to a breastfeeding woman. This is to prevent radiation exposure to the infant and is not related to hematological toxicity.
   - **Pediatric Use:** The safety and effectiveness of the drug in pediatric patients with epilepsy are established, but not in oncology or cardiology settings. This section does not mention hematological toxicity.

4. **Clinical Pharmacology:**
   - **Mechanism of Action:** The drug is a glucose analog that concentrates in cells relying on glucose for energy. This section explains the drug's function and does not mention hematological toxicity.

5. **Nonclinical Toxicology:**
   - **Carcinogenesis, Mutagenesis, Impairment of Fertility:** Animal studies have not been performed to evaluate the drug's carcinogenic potential, mutagenic potential, or effects on fertility. This section does not provide information on hematological toxicity.

In summary, the drug label does not discuss hematological toxicity risks or hematological reactions specifically associated with Fludeoxyglucose F 18 Injection, USP. The primary concerns are related to radiation exposure, blood glucose abnormalities, and hypersensitivity reactions.",No,No,1,1,
FLUPHENAZINE DECANOATE,"### Summary of Hematological Toxicity Risks and Reactions for Fluphenazine Decanoate Injection

1. **Leukopenia, Neutropenia, and Agranulocytosis:**
   - **Sentence:** ""In clinical trial and postmarketing experience, events of leukopenia/neutropenia and agranulocytosis have been reported temporally related to antipsychotic agents.""
   - **Summary:** The drug has been associated with leukopenia, neutropenia, and agranulocytosis based on clinical trials and postmarketing data.

2. **Risk Factors for Leukopenia/Neutropenia:**
   - **Sentence:** ""Possible risk factors for leukopenia/neutropenia include pre-existing low white blood cell count (WBC) and history of drug-induced leukopenia/neutropenia.""
   - **Summary:** The drug may pose a higher risk of leukopenia/neutropenia in patients with pre-existing low WBC or a history of drug-induced leukopenia/neutropenia.

3. **Monitoring and Discontinuation:**
   - **Sentence:** ""Patients with a pre-existing low WBC or a history of drug-induced leukopenia/neutropenia should have their complete blood count (CBC) monitored frequently during the first few months of therapy and should discontinue Fluphenazine Decanoate Injection at the first sign of a decline in WBC in the absence of other causative factors.""
   - **Summary:** The drug requires frequent CBC monitoring in at-risk patients and discontinuation if WBC declines.

4. **Monitoring for Infection:**
   - **Sentence:** ""Patients with neutropenia should be carefully monitored for fever or other symptoms or signs of infection and treated promptly if such symptoms or signs occur.""
   - **Summary:** The drug necessitates careful monitoring for infection in patients with neutropenia.

5. **Severe Neutropenia:**
   - **Sentence:** ""Patients with severe neutropenia (absolute neutrophil count <1,000/mm³) should discontinue Fluphenazine Decanoate Injection and have their WBC followed until recovery.""
   - **Summary:** The drug should be discontinued in patients with severe neutropenia.

6. **Routine Blood Counts:**
   - **Sentence:** ""Routine blood counts are advisable during therapy since blood dyscrasias including leukopenia, agranulocytosis, thrombocytopenic or nonthrombocytopenic purpura, eosinophilia, and pancytopenia have been observed with phenothiazine derivatives.""
   - **Summary:** The drug is associated with various blood dyscrasias, necessitating routine blood counts during therapy.

7. **Symptoms of Blood Dyscrasias:**
   - **Sentence:** ""Furthermore, if any soreness of the mouth, gums, or throat, or any symptoms of upper respiratory infection occur and confirmatory leukocyte count indicates cellular depression, therapy should be discontinued and other appropriate measures instituted immediately.""
   - **Summary:** The drug should be discontinued if symptoms of blood dyscrasias and cellular depression are confirmed.

### Conclusion
Fluphenazine Decanoate Injection is associated with several hematological risks, including leukopenia, neutropenia, agranulocytosis, thrombocytopenic or nonthrombocytopenic purpura, eosinophilia, and pancytopenia. Routine blood monitoring is recommended, and the drug should be discontinued if significant hematological abnormalities are detected.",Most,Yes,1,1,
