generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,,
ANTI-THYMOCYTE GLOBULIN (RABBIT),"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Thymoglobulin:
 

 1. **Warnings and Precautions (5.6 Malignancy)**:
  - **Summary**: The use of immunosuppressive agents, including Thymoglobulin, may increase the incidence of malignancies, including skin cancer.
  - **Association**: Thymoglobulin is associated with an increased risk of skin cancer.
 

 2. **Adverse Reactions (6.1 Clinical Trials Experience)**:
  - **Summary**: In clinical trials, six patients in the Thymoglobulin group developed malignancies, including squamous cell carcinoma and recurrent basal cell carcinoma.
  - **Association**: Thymoglobulin was associated with the development of squamous cell carcinoma and recurrent basal cell carcinoma.
 

 3. **Adverse Reactions (6.2 Postmarketing Experience)**:
  - **Summary**: Postmarketing reports have included malignancies such as lymphoproliferative disorders and solid tumors, which have been associated with fatal outcomes.
  - **Association**: Thymoglobulin is associated with the development of malignancies, including skin-related malignancies.
 

 4. **Adverse Reactions (6.2 Postmarketing Experience)**:
  - **Summary**: Infusion-associated reactions may include rash and urticaria.
  - **Association**: Thymoglobulin is associated with causing rash and urticaria as infusion-associated reactions.
 

 5. **Patient Counseling Information (17 Malignancies)**:
  - **Summary**: Patients should be informed of the increased risk of malignancies, especially skin cancer, while taking immunosuppressive therapy, including Thymoglobulin.
  - **Association**: Thymoglobulin is associated with an increased risk of skin cancer.
 

 6. **Patient Counseling Information (17 Malignancies)**:
  - **Summary**: Patients are instructed to limit exposure to sunlight and UV light by wearing protective clothing and using sunscreen with a high protection factor.
  - **Association**: This precaution is advised due to the increased risk of skin cancer associated with Thymoglobulin.
 

 In summary, Thymoglobulin is associated with an increased risk of skin cancer, including squamous cell carcinoma and basal cell carcinoma, and can cause dermatological reactions such as rash and urticaria. Patients are advised to take precautions to limit sun exposure to mitigate these risks.",Most,Yes,1,1,,
MEGESTROL ACETATE,"The drug label for MEGACE ES (megestrol acetate oral suspension) mentions dermatological and cutaneous risks and reactions in the following sections:
 

 1. **Animal Pharmacology and/or Toxicology:**
  - **Long-term treatment with Megace® ES (megestrol acetate) may increase the risk of respiratory infections.** 
  - This section does not mention dermatological risks.
 

 2. **Adverse Reactions:**
  - **Rash:**
  - **Trial 1:** 12% of patients in the 800 mg/day group reported rash.
  - **Trial 2:** 2% of patients in the 800 mg/day group reported rash.
  - **Open Label Trial:** 9% of patients reported rash.
  - **Summary:** The drug itself was associated with causing rash in a varying percentage of patients across different trials.
  
  - **Skin and Appendages:**
  - **Alopecia, herpes, pruritus, vesiculobullous rash, sweating, and skin disorder:**
  - These adverse events occurred in 1% to 3% of all patients enrolled in the two clinical efficacy trials.
  - **Summary:** The drug itself was associated with causing alopecia, herpes, pruritus, vesiculobullous rash, sweating, and other skin disorders in a small percentage of patients.
 

 3. **Postmarketing:**
  - **Postmarketing reports associated with megestrol acetate oral suspension include thromboembolic phenomena including thrombophlebitis, deep vein thrombosis, and pulmonary embolism; and glucose intolerance.**
  - This section does not mention dermatological risks.
 

 In summary, the drug label indicates that MEGACE ES (megestrol acetate) is associated with causing dermatological reactions such as rash, alopecia, herpes, pruritus, vesiculobullous rash, sweating, and other skin disorders in a small percentage of patients.",Less,Yes,1,1,,
INSULIN GLARGINE,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions associated with LANTUS (insulin glargine):
 

 1. **Lipodystrophy**:
  - **Summary**: Long-term use of insulin, including LANTUS, can cause lipodystrophy at the site of repeated insulin injections.
  - **Association**: The drug itself is associated with causing lipodystrophy.
  - **Details**: Lipodystrophy includes lipohypertrophy (thickening of adipose tissue) and lipoatrophy (thinning of adipose tissue), which may affect insulin absorption. Rotating injection sites within the same region can reduce the risk.
 

 2. **Injection Site Reactions**:
  - **Summary**: Patients taking LANTUS may experience injection site reactions, including redness, pain, itching, urticaria, edema, and inflammation.
  - **Association**: The drug itself is associated with causing injection site reactions.
  - **Details**: In clinical studies, there was a higher incidence of treatment-emergent injection site pain in LANTUS-treated patients (2.7%) compared to NPH insulin-treated patients (0.7%). These reactions usually resolve in a few days to a few weeks and may be related to factors other than insulin, such as irritants in a skin cleansing agent or poor injection technique.
 

 3. **Systemic Allergy**:
  - **Summary**: Severe, life-threatening, generalized allergy, including anaphylaxis, generalized skin reactions, angioedema, bronchospasm, hypotension, and shock may occur with any insulin, including LANTUS.
  - **Association**: The drug itself is associated with causing severe allergic reactions, including generalized skin reactions.
 

 4. **Local Allergy**:
  - **Summary**: As with any insulin therapy, patients taking LANTUS may experience local allergic reactions at the injection site.
  - **Association**: The drug itself is associated with causing local allergic reactions.
  - **Details**: These reactions include redness, pain, itching, urticaria, edema, and inflammation. Rotation of the injection site within a given area from one injection to the next may help to reduce or prevent these reactions.
 

 5. **Antibody Production**:
  - **Summary**: All insulin products, including LANTUS, can elicit the formation of insulin antibodies.
  - **Association**: The drug itself is associated with causing the formation of insulin antibodies.
  - **Details**: The presence of such insulin antibodies may increase or decrease the efficacy of insulin and may require adjustment of the insulin dose.
 

 6. **Weight Gain**:
  - **Summary**: Weight gain can occur with insulin therapy, including LANTUS.
  - **Association**: The drug itself is associated with causing weight gain.
  - **Details**: Weight gain has been attributed to the anabolic effects of insulin and the decrease in glucosuria.
 

 7. **Peripheral Edema**:
  - **Summary**: Insulin, including LANTUS, may cause sodium retention and edema.
  - **Association**: The drug itself is associated with causing peripheral edema.
  - **Details**: This is particularly likely if previously poor metabolic control is improved by intensified insulin therapy.
 

 8. **Adverse Reactions in Clinical Trials**:
  - **Summary**: Adverse reactions commonly associated with LANTUS include hypoglycemia, allergic reactions, injection site reactions, lipodystrophy, pruritus, rash, edema, and weight gain.
  - **Association**: The drug itself is associated with causing these adverse reactions.
 

 In summary, LANTUS is associated with several dermatological and cutaneous risks and reactions, including lipodystrophy, injection site reactions, systemic and local allergic reactions, antibody production, weight gain, and peripheral edema. These reactions are directly linked to the use of the drug.",Most,Yes,1,1,,
PROPRANOLOL,"The drug label for Propranolol Hydrochloride discusses several dermatological and cutaneous risks and reactions associated with the drug. Here is a summary of those parts:
 

 1. **Hypersensitivity and Skin Reactions**:
  - **Hypersensitivity reactions, including anaphylactic/anaphylactoid reactions, have been associated with the administration of propranolol**: This indicates that the drug itself is associated with hypersensitivity reactions.
  - **Cutaneous reactions, including Stevens-Johnson Syndrome, toxic epidermal necrolysis, exfoliative dermatitis, erythema multiforme, and urticaria, have been reported with use of propranolol**: This indicates that the drug itself is associated with these severe skin reactions.
 

 2. **Adverse Reactions**:
  - **Allergic: Hypersensitivity reactions, including anaphylactic/anaphylactoid reactions; pharyngitis and agranulocytosis; erythematous rash; fever combined with aching and sore throat; laryngospasm; respiratory distress**: This indicates that the drug itself is associated with these allergic reactions, including erythematous rash.
  - **Skin and mucous membranes: Stevens-Johnson Syndrome, toxic epidermal necrolysis, dry eyes, exfoliative dermatitis, erythema multiforme, urticaria, alopecia, SLE-like reactions, and psoriasisiform rashes**: This indicates that the drug itself is associated with these skin and mucous membrane reactions.
 

 In summary, Propranolol Hydrochloride is associated with several dermatological and cutaneous risks, including severe conditions like Stevens-Johnson Syndrome, toxic epidermal necrolysis, exfoliative dermatitis, erythema multiforme, and urticaria. These reactions are directly linked to the use of the drug.",Most,Yes,1,1,,
DIATRIZOATE MEGLUMINE,"The drug label for Cystografin Dilute does not explicitly mention any dermatological or cutaneous risks or reactions directly associated with the drug itself. However, it does discuss hypersensitivity and anaphylactoid reactions, which can include dermatological manifestations. Here is a summary of the relevant parts:
 

 1. **Warnings Section**:
  - ""Severe sensitivity reactions are more likely to occur in patients with a personal or family history of bronchial asthma, significant allergies, or previous reactions to contrast agents.""
  - **Summary**: The drug itself is associated with an increased likelihood of severe sensitivity reactions, which can include dermatological symptoms, in patients with certain medical histories.
 

 2. **Adverse Reactions Section**:
  - ""Hypersensitivity or anaphylactoid reactions may occur. Severe reactions may be manifested by edema of the face and glottis, respiratory distress, convulsions or shock; such reactions may prove fatal unless promptly controlled by such emergency measures as maintenance of a clear airway and immediate use of oxygen and resuscitative drugs.""
  - **Summary**: The drug itself may cause hypersensitivity or anaphylactoid reactions, which can include dermatological symptoms such as facial edema.
 

 In summary, while the drug label does not specifically highlight dermatological risks or reactions, it does indicate that hypersensitivity reactions, which can include dermatological symptoms, may occur with the use of Cystografin Dilute.",Less,Yes,1,2,,
DONEPEZIL,"The drug label for Donepezil Hydrochloride tablets includes the following information related to dermatological and cutaneous risks and reactions:
 

 1. **Section 6.1 Clinical Trials Experience:**
  - **Ecchymosis:** The label mentions that ecchymosis (bruising) occurred in 4% of patients treated with Donepezil Hydrochloride in mild to moderate Alzheimer's disease trials, compared to 3% in the placebo group. This indicates that the drug itself was associated with an increased incidence of ecchymosis.
  - **Eczema:** In severe Alzheimer's disease trials, eczema was reported in 3% of patients treated with Donepezil Hydrochloride, compared to 2% in the placebo group. This suggests that the drug itself was associated with a slightly higher incidence of eczema.
 

 2. **Section 6.2 Postmarketing Experience:**
  - **Rash:** The label lists rash as an adverse reaction identified during post-approval use of Donepezil Hydrochloride. This indicates that the drug itself was associated with the occurrence of rash.
  - **Neuroleptic Malignant Syndrome:** Although not exclusively dermatological, this syndrome can include dermatological manifestations such as sweating and skin changes. The label mentions this as a potential adverse reaction, indicating that the drug itself was associated with this condition.
 

 In summary, the drug label indicates that Donepezil Hydrochloride is associated with an increased incidence of ecchymosis, eczema, rash, and potentially dermatological manifestations of neuroleptic malignant syndrome.",Most,Yes,1,1,,
CYCLOPENTOLATE HYDROCHLORIDE,"The drug label for Cyclogyl (cyclopentolate hydrochloride ophthalmic solution) mentions dermatological and cutaneous risks and reactions in the following sections:
 

 1. **Adverse Reactions - Non-ocular:**
  - **Sentence:** ""Other toxic manifestations of anticholinergic drugs are skin rash...""
  - **Summary:** The drug itself (cyclopentolate) is associated with causing skin rash as a toxic manifestation.
 

 2. **Adverse Reactions - Non-ocular:**
  - **Sentence:** ""...diminished secretion in salivary and sweat glands...""
  - **Summary:** The drug itself (cyclopentolate) is associated with causing diminished secretion in sweat glands, which is a cutaneous reaction.
 

 3. **Adverse Reactions - Non-ocular:**
  - **Sentence:** ""...severe manifestations of toxicity include...medullary paralysis and death.""
  - **Summary:** While not directly a dermatological reaction, severe toxicity from the drug itself (cyclopentolate) can lead to critical conditions, which may indirectly affect the skin.
 

 In summary, the drug Cyclogyl is associated with causing skin rash and diminished secretion in sweat glands as part of its toxic manifestations.",Less,Yes,2,1,,
HEPARIN SODIUM INJECTION,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Heparin Sodium Injection:
 

 1. **Warnings and Precautions (5.2 Hemorrhage)**
  - **Necrosis of the skin**: The drug itself has been associated with necrosis of the skin at the site of subcutaneous injection.
 

 2. **Adverse Reactions (6.1 Postmarketing Experience)**
  - **Local Irritation**: The drug itself has been associated with local irritation, erythema, mild pain, hematoma, or ulceration following deep subcutaneous injection.
  - **Histamine-like reactions**: The drug itself has been associated with histamine-like reactions at the site of injections.
  - **Necrosis of the skin**: The drug itself has been associated with necrosis of the skin at the site of subcutaneous injection, occasionally requiring skin grafting.
  - **Hypersensitivity**: The drug itself has been associated with generalized hypersensitivity reactions, which include itching and burning, especially on the plantar side of the feet.
 

 3. **Patient Counseling Information**
  - **Hypersensitivity**: The drug itself has been associated with generalized hypersensitivity reactions, including necrosis of the skin at the site of subcutaneous injection.
 

 In summary, Heparin Sodium Injection has been associated with several dermatological risks and reactions, including skin necrosis, local irritation, histamine-like reactions, and generalized hypersensitivity reactions.",Most,Yes,1,1,,
FLUORESCEIN SODIUM,"### Summary of Dermatological and Cutaneous Risks and Reactions for FLUORESCITE® (fluorescein injection, USP) 10%
 

 1. **Contraindications (Section 4)**
  - **Hypersensitivity Reactions**: The drug is contraindicated in patients with known hypersensitivity to fluorescein sodium or any other ingredients in this product. This includes patients who have previously experienced adverse reactions other than nausea and vomiting, or those with a history of allergies such as food or drug-induced urticaria, asthma, eczema, or allergic rhinitis. **(The drug itself is associated with hypersensitivity reactions, including dermatological conditions like urticaria and eczema.)**
 

 2. **Warnings and Precautions (Section 5)**
  - **Severe Local Tissue Damage (5.2)**: Care must be taken to avoid extravasation during injection as the high pH of fluorescein solution can result in severe local tissue damage. Complications from extravasation include severe pain in the arm, sloughing of the skin, superficial phlebitis, subcutaneous granuloma, and toxic neuritis. **(The drug itself can cause severe local tissue damage, including sloughing of the skin and subcutaneous granuloma, if extravasation occurs.)**
 

 3. **Adverse Reactions (Section 6)**
  - **Skin and Urine Discoloration**: The most common reaction is temporary yellowish discoloration of the skin, which usually fades in 6 to 12 hours. **(The drug itself causes temporary yellowish discoloration of the skin.)**
  - **Hypersensitivity Reactions**: Symptoms and signs of hypersensitivity have occurred, including generalized hives and itching. **(The drug itself is associated with hypersensitivity reactions, including generalized hives and itching.)**
  - **Thrombophlebitis**: Thrombophleitis at the injection site has been reported. Extravasation of the solution at the injection site causes intense pain and a dull aching pain in the injected arm. **(The drug itself can cause thrombophlebitis and intense pain at the injection site if extravasation occurs.)**
 

 4. **Patient Counseling Information (Section 17)**
  - **Skin Discoloration**: After administration, the skin will attain a temporary yellowish discoloration, which usually fades in 6 to 12 hours. **(The drug itself causes temporary yellowish discoloration of the skin.)**
 

 ### Conclusion
 FLUORESCITE® (fluorescein injection, USP) 10% is associated with several dermatological and cutaneous risks and reactions, including hypersensitivity reactions (such as urticaria, eczema, generalized hives, and itching), severe local tissue damage (including sloughing of the skin and subcutaneous granuloma), and temporary yellowish discoloration of the skin. Additionally, extravasation during injection can cause intense pain and thrombophlebitis at the injection site.",Most,Yes,1,1,,
ALFUZOSIN HCL,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for UROXATRAL (alfuzosin HCl):
 

 1. **Section 4 - Contraindications:**
  - **Known hypersensitivity (e.g., urticaria or angioedema) to alfuzosin or any of the ingredients:** The drug itself is associated with causing hypersensitivity reactions such as urticaria (hives) and angioedema.
 

 2. **Section 5.7 - Priapism:**
  - **Priapism:** Although not a dermatological reaction, it is mentioned here that alfuzosin, like other alpha adrenergic antagonists, has been associated with priapism, a condition that can lead to permanent impotence if not treated.
 

 3. **Section 6.2 - Post-Marketing Experience:**
  - **Skin and subcutaneous tissue disorders:**
  - **Rash:** The drug itself has been associated with causing rashes.
  - **Pruritis:** The drug itself has been associated with causing itching.
  - **Urticaria:** The drug itself has been associated with causing hives.
  - **Angioedema:** The drug itself has been associated with causing swelling beneath the skin.
  - **Toxic epidermal necrolysis:** The drug itself has been associated with causing this severe skin reaction.
 

 4. **Section 17.3 - Priapism:**
  - **Priapism:** Patients should be advised about the possibility of priapism resulting from treatment with UROXATRAL and medications in the same class. This condition, although rare, can lead to permanent erectile dysfunction if not treated.
 

 In summary, UROXATRAL (alfuzosin HCl) is associated with several dermatological and cutaneous risks, including hypersensitivity reactions such as urticaria and angioedema, as well as other skin reactions like rash, pruritis, and toxic epidermal necrolysis.",Most,Yes,1,1,,
INSULIN DETEMIR,"### Summary of Dermatological and Cutaneous Risks and Reactions for LEVEMIR
 

 1. **Lipodystrophy**:
  - **Long-term use of insulin, including LEVEMIR, can cause lipodystrophy at the site of repeated insulin injections.** 
  - **Summary**: LEVEMIR is associated with causing lipodystrophy.
  - **Lipodystrophy includes lipohypertrophy (thickening of adipose tissue) and lipoatrophy (thinning of adipose tissue), and may affect insulin absorption.**
  - **Summary**: LEVEMIR is associated with causing both lipohypertrophy and lipoatrophy.
  - **Rotate insulin injection sites within the same region to reduce the risk of lipodystrophy.**
  - **Summary**: Rotating injection sites can reduce the risk of lipodystrophy caused by LEVEMIR.
 

 2. **Local Allergy**:
  - **As with any insulin therapy, patients taking LEVEMIR may experience injection site reactions, including localized erythema, pain, pruritis, urticaria, edema, and inflammation.**
  - **Summary**: LEVEMIR is associated with causing localized erythema, pain, pruritis, urticaria, edema, and inflammation.
  - **In clinical studies in adults, three patients treated with LEVEMIR reported injection site pain (0.25%) compared to one patient treated with NPH insulin (0.12%).**
  - **Summary**: LEVEMIR was associated with injection site pain in clinical studies.
  - **The reports of pain at the injection site did not result in discontinuation of therapy.**
  - **Summary**: Injection site pain caused by LEVEMIR did not lead to discontinuation of therapy.
  - **Rotation of the injection site within a given area from one injection to the next may help to reduce or prevent these reactions.**
  - **Summary**: Rotating injection sites can reduce or prevent local allergic reactions caused by LEVEMIR.
  - **In some instances, these reactions may be related to factors other than insulin, such as irritants in a skin cleansing agent or poor injection technique.**
  - **Summary**: Some local allergic reactions may not be directly caused by LEVEMIR but by other factors.
 

 3. **Systemic Allergy**:
  - **Severe, life-threatening, generalized allergy, including anaphylaxis, generalized skin reactions, angioedema, bronchospasm, hypotension, and shock may occur with any insulin, including LEVEMIR.**
  - **Summary**: LEVEMIR is associated with causing severe, life-threatening generalized skin reactions.
 

 4. **Patient Information**:
  - **Reactions at the injection site (local allergic reaction): You may get redness, swelling, and itching at the injection site. If you keep having skin reactions or they are serious, talk to your healthcare provider.**
  - **Summary**: LEVEMIR is associated with causing redness, swelling, and itching at the injection site.
 

 ### Conclusion
 LEVEMIR is associated with several dermatological and cutaneous risks, including lipodystrophy, localized allergic reactions (such as erythema, pain, pruritis, urticaria, edema, and inflammation), and severe generalized skin reactions. Rotating injection sites can help mitigate some of these risks.",Most,Yes,1,1,,
TEMSIROLIMUS INJECTION,"### Summary of Dermatological and Cutaneous Risks and Reactions for Temsirolimus Injection
 

 1. **Adverse Reactions (Section 6)**
  - **Rash**: The drug itself was associated with rash, including eczema, exfoliative dermatitis, maculopapular rash, pruritic rash, pustular rash, rash (not otherwise specified), and vesiculobullous rash. This was observed in 47% of patients receiving temsirolimus injection.
  - **Pruritus**: The drug itself was associated with pruritus, observed in 19% of patients.
  - **Nail Disorder**: The drug itself was associated with nail disorders, observed in 14% of patients.
  - **Dry Skin**: The drug itself was associated with dry skin, observed in 11% of patients.
  - **Acne**: The drug itself was associated with acne, observed in 10% of patients.
 

 2. **Warnings and Precautions (Section 5)**
  - **Hypersensitivity/Infusion Reactions (Section 5.1)**: The drug itself was associated with hypersensitivity/infusion reactions, which can include dermatological symptoms such as flushing and rash. These reactions can occur early in the first infusion but may also occur with subsequent infusions.
 

 3. **Clinical Trials Experience (Section 6.1)**
  - **Rash**: The drug itself was associated with rash, including various types such as eczema, exfoliative dermatitis, maculopapular rash, pruritic rash, pustular rash, rash (not otherwise specified), and vesiculobullous rash. This was observed in 47% of patients receiving temsirolimus injection.
  - **Pruritus**: The drug itself was associated with pruritus, observed in 19% of patients.
  - **Nail Disorder**: The drug itself was associated with nail disorders, observed in 14% of patients.
  - **Dry Skin**: The drug itself was associated with dry skin, observed in 11% of patients.
  - **Acne**: The drug itself was associated with acne, observed in 10% of patients.
 

 4. **Post-marketing and Other Clinical Experience (Section 6.2)**
  - **Stevens-Johnson Syndrome**: The drug itself was associated with Stevens-Johnson Syndrome, a severe dermatological reaction.
 

 ### Conclusion
 Temsirolimus injection is associated with several dermatological and cutaneous risks and reactions, including rash, pruritus, nail disorders, dry skin, acne, and severe conditions like Stevens-Johnson Syndrome. These reactions were observed both in clinical trials and post-marketing experiences.",Most,Yes,1,1,,
ANAGRELIDE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Anagrelide Capsules
 

 1. **Section 6: Adverse Reactions**
  - **Skin and subcutaneous tissue disorders:**
  - **Rash (8%)**: The drug itself was associated with this reaction.
  - **Pruritus (6%)**: The drug itself was associated with this reaction.
  - **Alopecia (frequency 1% to < 5%)**: The drug itself was associated with this reaction.
  - **Cutaneous photosensitivity (post-marketing reports)**: The drug itself was associated with this reaction.
 

 2. **Section 6.2: Post-marketing Experience**
  - **Skin and subcutaneous tissue disorders:**
  - **Cutaneous photosensitivity**: The drug itself was associated with this reaction.
 

 ### Summary
 - **Rash**: Anagrelide was associated with causing rash in 8% of patients.
 - **Pruritus**: Anagrelide was associated with causing pruritus in 6% of patients.
 - **Alopecia**: Anagrelide was associated with causing alopecia in 1% to < 5% of patients.
 - **Cutaneous photosensitivity**: Anagrelide was associated with causing cutaneous photosensitivity as reported in post-marketing experiences.",Less,Yes,2,1,,
RIBOFLAVIN 5-PHOSPHATE IN 20% DEXTRAN OPHTHALMIC; RIBOFLAVIN 5-PHOSPHATE OPHTHALMIC,"The drug label for PHOTREXA® VISCOUS and PHOTREXA® does not explicitly discuss dermatological and cutaneous risks or reactions. The label primarily focuses on ophthalmic use and associated ocular adverse reactions. However, it does mention some general adverse reactions and precautions that could be indirectly related to dermatological concerns. Here is a summary of the relevant sections:
 

 1. **Warnings and Precautions (Section 5)**:
  - **Ulcerative keratitis can occur**: This is an ocular condition, not a dermatological one. The drug itself is associated with this risk.
 

 2. **Adverse Reactions (Section 6)**:
  - **Ulcerative keratitis**: Again, this is an ocular condition. The drug itself is associated with this risk.
  - **In progressive keratoconus patients**: The most common ocular adverse reactions include corneal opacity (haze), punctate keratitis, corneal striae, corneal epithelium defect, eye pain, reduced visual acuity, and blurred vision. These are all ocular reactions, not dermatological.
  - **In corneal ectasia patients**: The most common ocular adverse reactions include corneal opacity (haze), corneal epithelium defect, corneal striae, dry eye, eye pain, punctate keratitis, photophobia, reduced visual acuity, and blurred vision. These are all ocular reactions, not dermatological.
 

 3. **Clinical Trials Experience (Section 6.1)**:
  - The safety data from clinical trials primarily report ocular adverse reactions such as corneal opacity, punctate keratitis, corneal striae, corneal epithelium defect, eye pain, reduced visual acuity, and blurred vision. These are all ocular reactions, not dermatological.
  - **Table 1**: Lists various ocular adverse reactions, none of which are dermatological.
 

 4. **Use in Specific Populations (Section 8)**:
  - **Pregnancy (Section 8.1)**: There is no specific mention of dermatological risks.
  - **Lactation (Section 8.2)**: There is no specific mention of dermatological risks.
  - **Pediatric Use (Section 8.4)**: There is no specific mention of dermatological risks.
  - **Geriatric Use (Section 8.5)**: There is no specific mention of dermatological risks.
 

 5. **Nonclinical Toxicology (Section 13)**:
  - **Carcinogenesis, Mutagenesis, Impairment of Fertility (Section 13.1)**: Animal studies have not been conducted to determine the carcinogenic potential of photoexcited riboflavin. There is no specific mention of dermatological risks.
 

 In summary, the drug label does not discuss any dermatological or cutaneous risks or reactions directly associated with PHOTREXA® VISCOUS and PHOTREXA®. The focus is primarily on ocular adverse reactions and precautions.",No,No,1,1,,
ODEVIXIBAT,"The drug label for BYLVAY (odevixibat) does not explicitly mention any dermatological or cutaneous risks or reactions directly associated with the drug. The primary focus of the adverse reactions and warnings sections is on liver test abnormalities, diarrhea, and fat-soluble vitamin deficiencies. Here is a summary of the relevant sections:
 

 1. **Warnings and Precautions (Section 5)**
  - **Liver Test Abnormalities (5.1)**: Discusses the need for baseline liver tests and monitoring during treatment due to the risk of liver-related adverse reactions. No mention of dermatological risks.
  - **Diarrhea (5.2)**: Addresses the occurrence of diarrhea and the need for treatment interruption if persistent. No mention of dermatological risks.
  - **Fat-Soluble Vitamin (FSV) Deficiency (5.3)**: Advises monitoring and supplementation of fat-soluble vitamins. No mention of dermatological risks.
 

 2. **Adverse Reactions (Section 6)**
  - **PFIC Clinical Studies (6.1)**: Lists common adverse reactions such as liver test abnormalities, diarrhea, abdominal pain, vomiting, and fat-soluble vitamin deficiency. No dermatological reactions are mentioned.
  - **ALGS Clinical Studies (6.1)**: Lists common adverse reactions such as diarrhea, abdominal pain, hematoma, and decreased weight. No dermatological reactions are mentioned.
 

 3. **Clinical Trials Experience (Section 6.1)**
  - **PFIC Clinical Studies**: No dermatological reactions reported.
  - **ALGS Clinical Studies**: No dermatological reactions reported.
 

 4. **Patient Counseling Information (Section 17)**
  - Advises patients on administration instructions, liver test monitoring, diarrhea, and fat-soluble vitamin deficiency. No mention of dermatological risks.
 

 In summary, the drug label for BYLVAY does not indicate any dermatological or cutaneous risks or reactions associated with the drug itself. The focus is primarily on liver-related issues, gastrointestinal symptoms, and vitamin deficiencies.",No,No,1,1,,
RABEPRAZOLE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Rabeprazole Sodium Delayed-Release Tablets
 

 1. **Severe Cutaneous Adverse Reactions**:
  - **Sentence**: ""Severe cutaneous adverse reactions, including Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN), drug reaction with eosinophilia and systemic symptoms (DRESS), and acute generalized exanthematous pustulosis (AGEP) have been reported in association with the use of PPIs.""
  - **Summary**: The drug itself (rabeprazole sodium) has been associated with severe cutaneous adverse reactions such as SJS, TEN, DRESS, and AGEP.
 

 2. **Warnings and Precautions**:
  - **Sentence**: ""Discontinue rabeprazole sodium at first signs or symptoms of severe cutaneous adverse reactions or other signs of hypersensitivity and consider further evaluation.""
  - **Summary**: The drug itself (rabeprazole sodium) should be discontinued if severe cutaneous adverse reactions or hypersensitivity signs appear.
 

 3. **Cutaneous and Systemic Lupus Erythematosus**:
  - **Sentence**: ""Cutaneous lupus erythematosus (CLE) and systemic lupus erythematosus (SLE) have been reported in patients taking PPIs, including rabeprazole.""
  - **Summary**: The drug itself (rabeprazole sodium) has been associated with the development of CLE and SLE.
 

 4. **Medication Guide**:
  - **Sentence**: ""Certain types of lupus erythematosus. Lupus erythematosus is an autoimmune disorder (the body’s immune cells attack other cells or organs in the body). Some people who take PPI medicines, including rabeprazole sodium delayed-release tablets, may develop certain types of lupus erythematosus or have worsening of the lupus they already have.""
  - **Summary**: The drug itself (rabeprazole sodium) may cause the development or worsening of lupus erythematosus.
 

 5. **Severe Skin Reactions**:
  - **Sentence**: ""Rabeprazole sodium delayed-release tablets can cause rare but serious skin reactions that may affect any part of your body. These serious skin reactions may need to be treated in a hospital and may be life-threatening.""
  - **Summary**: The drug itself (rabeprazole sodium) can cause rare but serious skin reactions that may require hospitalization and can be life-threatening.
 

 6. **Medication Guide**:
  - **Sentence**: ""Skin rash which may have blistering, peeling or bleeding on any part of your skin (including your lips, eyes, mouth, nose, genitals, hands or feet). You may also have fever, chills, body aches, shortness of breath, or enlarged lymph nodes.""
  - **Summary**: The drug itself (rabeprazole sodium) can cause skin rash with blistering, peeling, or bleeding, and may be accompanied by systemic symptoms like fever and body aches.
 

 7. **Post-marketing Experience**:
  - **Sentence**: ""The following adverse reactions have been identified during post approval use of rabeprazole. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure: Skin and Subcutaneous Tissue Disorders: severe dermatologic reactions including bullous and other drug eruptions of the skin, cutaneous lupus erythematosus, erythema multiforme.""
  - **Summary**: The drug itself (rabeprazole sodium) has been associated with severe dermatologic reactions, including bullous eruptions, cutaneous lupus erythematosus, and erythema multiforme, based on post-marketing reports.
 

 ### Conclusion
 Rabeprazole sodium delayed-release tablets have been associated with several dermatological and cutaneous risks, including severe cutaneous adverse reactions (SJS, TEN, DRESS, AGEP), lupus erythematosus (CLE and SLE), and other severe skin reactions such as blistering, peeling, and bleeding. These reactions can be serious and may require discontinuation of the drug and further medical evaluation.",Most,Yes,1,1,,
