generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,My score
2% LIDOCAINE HCI,"The drug label for 2% Lidocaine HCl Injection, USP does not explicitly discuss dermatological and cutaneous risks or reactions in detail. However, it does mention allergic reactions and adverse experiences that could potentially include dermatological manifestations. Here is a summary of the relevant parts:
 

 1. **Adverse Reactions - Allergic Reactions**:
  - **Sentence**: ""Allergic reactions as a result of sensitivity to lidocaine are extremely rare and, if they occur, should be managed by conventional means.""
  - **Summary**: The drug itself is associated with allergic reactions, which are extremely rare. These reactions could potentially include dermatological manifestations, although they are not specified.
 

 2. **Adverse Reactions - General**:
  - **Sentence**: ""Adverse experiences following the administration of lidocaine are similar in nature to those observed with other amide local anesthetic agents.""
  - **Summary**: The drug itself is associated with adverse experiences similar to other amide local anesthetics, which could include dermatological reactions, although specific cutaneous reactions are not detailed.
 

 3. **Precautions - General**:
  - **Sentence**: ""Caution should be employed in the use of lidocaine hydrochloride in patients with severe liver or kidney disease because accumulation of the drug or metabolites may occur.""
  - **Summary**: The drug itself is associated with a risk of accumulation in patients with severe liver or kidney disease, which could potentially lead to various adverse effects, including dermatological reactions, although these are not specified.
 

 Overall, the drug label does not provide specific details on dermatological and cutaneous risks or reactions directly caused by the drug, but it does acknowledge the possibility of allergic reactions and adverse experiences that could include dermatological manifestations.",Less,No,1,1,,
IBUPROFEN ORAL,"### Summary of Dermatological and Cutaneous Risks and Reactions for Ibuprofen Oral Suspension
 

 1. **Serious Skin Adverse Events**:
  - **Sentence**: ""NSAIDs, including ibuprofen, can cause serious skin adverse events such as exfoliative dermatitis, Stevens-Johnson syndrome (SJS), and toxic epidermal necrolysis (TEN), which can be fatal.""
  - **Summary**: Ibuprofen itself is associated with causing serious skin adverse events, including exfoliative dermatitis, Stevens-Johnson syndrome (SJS), and toxic epidermal necrolysis (TEN), which can be fatal.
 

 2. **Occurrence Without Warning**:
  - **Sentence**: ""These serious events may occur without warning.""
  - **Summary**: The serious skin adverse events caused by ibuprofen can occur without warning.
 

 3. **Patient Information on Serious Skin Manifestations**:
  - **Sentence**: ""Patients should be informed about the signs and symptoms of serious skin manifestations and use of the drug should be discontinued at the first appearance of skin rash or any other sign of hypersensitivity.""
  - **Summary**: Patients should be informed that ibuprofen can cause serious skin manifestations and should discontinue use at the first sign of a skin rash or hypersensitivity.
 

 4. **Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)**:
  - **Sentence**: ""Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS) has been reported in patients taking NSAIDs such as ibuprofen oral suspension.""
  - **Summary**: Ibuprofen is associated with causing Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS).
 

 5. **Severity of DRESS**:
  - **Sentence**: ""Some of these events have been fatal or life-threatening.""
  - **Summary**: The DRESS caused by ibuprofen can be fatal or life-threatening.
 

 6. **Presentation of DRESS**:
  - **Sentence**: ""DRESS typically, although not exclusively, presents with fever, rash, lymphadenopathy, and/or facial swelling.""
  - **Summary**: DRESS caused by ibuprofen typically presents with fever, rash, lymphadenopathy, and/or facial swelling.
 

 7. **Other Clinical Manifestations of DRESS**:
  - **Sentence**: ""Other clinical manifestations may include hepatitis, nephritis, hematological abnormalities, myocarditis, or myositis.""
  - **Summary**: DRESS caused by ibuprofen may also include hepatitis, nephritis, hematological abnormalities, myocarditis, or myositis.
 

 8. **Variable Presentation of DRESS**:
  - **Sentence**: ""Sometimes symptoms of DRESS may resemble an acute viral infection.""
  - **Summary**: Symptoms of DRESS caused by ibuprofen may resemble an acute viral infection.
 

 9. **Presence of Eosinophilia in DRESS**:
  - **Sentence**: ""Eosinophilia is often present.""
  - **Summary**: Eosinophilia is often present in DRESS caused by ibuprofen.
 

 10. **Early Manifestations of Hypersensitivity**:
  - **Sentence**: ""It is important to note that early manifestations of hypersensitivity, such as fever or lymphadenopathy, may be present even though rash is not evident.""
  - **Summary**: Early manifestations of hypersensitivity caused by ibuprofen, such as fever or lymphadenopathy, may be present even without a rash.
 

 11. **Discontinuation and Evaluation**:
  - **Sentence**: ""If such signs or symptoms are present, discontinue ibuprofen oral suspension and evaluate the patient immediately.""
  - **Summary**: If signs or symptoms of hypersensitivity are present, ibuprofen should be discontinued and the patient should be evaluated immediately.
 

 12. **Adverse Reactions Reported Occasionally**:
  - **Sentence**: ""Additional adverse experiences reported occasionally include: Skin and appendages - alopecia, photosensitivity, sweat.""
  - **Summary**: Ibuprofen is occasionally associated with causing alopecia, photosensitivity, and sweating.
 

 13. **Rare Adverse Reactions**:
  - **Sentence**: ""Other adverse reactions, which occur rarely are: Skin and appendages - angioedema, toxic epidermal necrosis, erythema multiforme, exfoliative dermatitis, Stevens Johnson syndrome, urticaria, vesiculobullous eruptions.""
  - **Summary**: Ibuprofen is rarely associated with causing angioedema, toxic epidermal necrosis, erythema multiforme, exfoliative dermatitis, Stevens-Johnson syndrome, urticaria, and vesiculobullous eruptions.
 

 14. **Medication Guide for Serious Skin Reactions**:
  - **Sentence**: ""Serious Skin Reactions, including DRESS: Advise patients to stop taking ibuprofen oral suspension immediately if they develop any type of rash or fever and to contact their healthcare provider as soon as possible.""
  - **Summary**: Patients should be advised that ibuprofen can cause serious skin reactions, including DRESS, and should stop taking the medication immediately if they develop any type of rash or fever and contact their healthcare provider.
 

 This summary highlights the dermatological and cutaneous risks and reactions associated with ibuprofen oral suspension as described in the drug label.",Most,Yes,2,1,,
DIAZOXIDE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Proglycem (Diazoxide)
 

 1. **Hirsutism of the lanugo type**:
  - **Description**: Hirsutism, mainly on the forehead, back, and limbs, occurs most commonly in children and women.
  - **Association**: The drug itself is associated with this reaction.
  - **Outcome**: It subsides on discontinuation of the drug.
 

 2. **Skin rash**:
  - **Description**: Skin rash may occur.
  - **Association**: The drug itself is associated with this reaction.
 

 3. **Monilial dermatitis**:
  - **Description**: Monilial dermatitis has been observed.
  - **Association**: The drug itself is associated with this reaction.
 

 4. **Herpes**:
  - **Description**: Herpes has been observed.
  - **Association**: The drug itself is associated with this reaction.
 

 5. **Loss of scalp hair**:
  - **Description**: Loss of scalp hair has been observed.
  - **Association**: The drug itself is associated with this reaction.
 

 6. **Alopecia and hypertrichosis lanuginosa in infants**:
  - **Description**: Alopecia and hypertrichosis lanuginosa have occurred in infants whose mothers received oral diazoxide during the last 19 to 60 days of pregnancy.
  - **Association**: The drug itself is associated with these reactions when administered to pregnant mothers.
 

 ### Conclusion
 Proglycem (diazoxide) is associated with several dermatological and cutaneous reactions, including hirsutism, skin rash, monilial dermatitis, herpes, loss of scalp hair, alopecia, and hypertrichosis lanuginosa. These reactions are directly linked to the drug's administration, either in patients or in infants exposed in utero.",Most,Yes,2,1,,less
CEFADROXIL,"### Summary of Dermatological and Cutaneous Risks and Reactions for Cefadroxil
 

 1. **Hypersensitivity Reactions:**
  - **Statement:** ""Allergies (in the form of rash, urticaria, angioedema, and pruritus) have been observed. These reactions usually subsided upon discontinuation of the drug. Anaphylaxis has also been reported.""
  - **Summary:** The drug itself is associated with causing dermatological reactions such as rash, urticaria (hives), angioedema (swelling), and pruritus (itching). These reactions typically subside when the drug is discontinued. Anaphylaxis, a severe allergic reaction, has also been reported.
 

 2. **Other Reactions:**
  - **Statement:** ""Other reactions have included hepatic dysfunction including cholestasis and elevations in serum transaminase, genital pruritus, genital moniliasis, vaginitis, moderate transient neutropenia, fever. Agranulocytosis, thrombocytopenia, idiosyncratic hepatic failure, erythema multiforme, Stevens-Johnson syndrome, serum sickness, and arthralgia have been rarely reported.""
  - **Summary:** The drug itself is associated with rare but serious dermatological conditions such as erythema multiforme and Stevens-Johnson syndrome. These are severe skin reactions that can be life-threatening.
 

 3. **Cephalosporin-Class Antibiotics:**
  - **Statement:** ""In addition to the adverse reactions listed above which have been observed in patients treated with cefadroxil, the following adverse reactions and altered laboratory tests have been reported for cephalosporin-class antibiotics: Toxic epidermal necrolysis, abdominal pain, superinfection, renal dysfunction, toxic nephropathy, aplastic anemia, hemolytic anemia, hemorrhage, prolonged prothrombin time, positive Coombs’ test, increased BUN, increased creatinine, elevated alkaline phosphatase, elevated aspartate aminotransferase (AST), elevated alanine aminotransferase (ALT), elevated bilirubin, elevated LDH, eosinophilia, pancytopenia, neutropenia.""
  - **Summary:** The drug class (cephalosporins), which includes cefadroxil, is associated with severe dermatological reactions such as toxic epidermal necrolysis. This is a life-threatening skin condition that causes the skin to peel off in sheets.
 

 ### Conclusion
 Cefadroxil is associated with several dermatological risks and reactions, ranging from common allergic reactions like rash and pruritus to rare but severe conditions such as erythema multiforme, Stevens-Johnson syndrome, and toxic epidermal necrolysis. These reactions necessitate careful monitoring and immediate discontinuation of the drug if severe reactions occur.",Most,Yes,2,1,,less
TIMOLOL,"### Summary of Dermatological and Cutaneous Risks and Reactions for Betimol (Timolol Ophthalmic Solution)
 

 1. **General Precautions:**
  - **Anaphylaxis:** 
  - **Summary:** Patients with a history of severe anaphylactic reactions may be more reactive to allergens while taking beta-blockers, and may be unresponsive to usual doses of epinephrine.
  - **Association:** This is a general precaution for beta-blockers, not specifically caused by Betimol.
 

 2. **Adverse Reactions:**
  - **Skin:**
  - **Alopecia:** 
  - **Summary:** Hair loss has been reported with the use of ophthalmic beta-blockers.
  - **Association:** This reaction is associated with the use of ophthalmic beta-blockers, including Betimol.
  - **Hypersensitivity including localized and generalized rash, urticaria:**
  - **Summary:** Hypersensitivity reactions such as localized and generalized rash and urticaria (hives) have been reported with ophthalmic beta-blockers.
  - **Association:** These reactions are associated with the use of ophthalmic beta-blockers, including Betimol.
 

 ### Conclusion
 The drug label for Betimol (timolol ophthalmic solution) indicates that dermatological reactions such as alopecia, localized and generalized rash, and urticaria have been reported with the use of ophthalmic beta-blockers, including Betimol. Additionally, patients with a history of severe anaphylactic reactions may be more reactive to allergens while taking beta-blockers, although this is a general precaution and not specific to Betimol.",Less,Yes,1,1,,
AVAPRITINIB,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions associated with AYVAKIT (avapritinib):
 

 1. **Photosensitivity**:
  - **Section 5.3**: AYVAKIT may cause photosensitivity reactions. Patients are advised to limit direct ultraviolet exposure. This indicates that the drug itself is associated with photosensitivity risks.
 

 2. **Adverse Reactions in Clinical Trials**:
  - **Section 6.1 (GIST)**: The most common adverse reactions in patients with GIST include rash (23%) and hair color changes (21%). This indicates that the drug itself caused these dermatological reactions.
  - **Section 6.1 (AdvSM)**: Rash and hair color changes were also noted in patients with AdvSM, though specific percentages are not provided. This suggests that the drug itself caused these reactions.
  - **Section 6.1 (ISM)**: The most common adverse reactions in patients with ISM include flushing (11%). This indicates that the drug itself caused this dermatological reaction.
 

 3. **Other Clinically Relevant Adverse Reactions**:
  - **Section 6.1 (AdvSM)**: Rash, alopecia, pruritus, and hair color changes were noted in less than 10% of patients. This indicates that the drug itself caused these dermatological reactions.
 

 4. **Patient Counseling Information**:
  - **Section 17**: Patients are informed about the potential risk of photosensitivity reactions with AYVAKIT and advised to limit direct ultraviolet exposure by using sunscreen and protective clothing. This indicates that the drug itself is associated with photosensitivity risks.
 

 In summary, AYVAKIT is associated with and has caused several dermatological and cutaneous reactions, including photosensitivity, rash, hair color changes, flushing, alopecia, and pruritus. Patients are advised to take precautions against ultraviolet exposure to mitigate the risk of photosensitivity.",Most,Yes,1,1,,
GLUCARPIDASE,"The drug label for VORAXAZE (glucarpidase) mentions dermatological and cutaneous risks and reactions in the following sections:
 

 1. **Adverse Reactions (Section 6.1)**:
  - **Rash**: The label states that rash occurred in less than 1% of patients. This indicates that the drug itself was associated with causing this dermatological reaction.
  - **Throat irritation/Throat tightness**: This reaction also occurred in less than 1% of patients. While not strictly dermatological, it is a cutaneous reaction associated with the drug.
 

 2. **Table 1: Select Adverse Reactions Occurring in Patients Receiving VORAXAZE in Study 1 and Study 2**:
  - **Rash**: The table lists rash as an adverse reaction occurring in less than 1% of patients. This confirms that the drug itself was associated with causing this dermatological reaction.
 

 In summary, the drug label indicates that VORAXAZE is associated with causing rash and throat irritation/tightness in less than 1% of patients.",Less,Yes,1,1,,
BEROTRALSTAT HYDROCHLORIDE,"The drug label for ORLADEYO (berotralstat) includes the following information regarding dermatological and cutaneous risks and reactions:
 

 1. **Adverse Reactions (6.1) - Clinical Trials Experience:**
  - **Maculopapular Drug Rash:** A maculopapular drug rash was reported in less than 1% of patients treated with ORLADEYO. The rash resolved, including in subjects who continued dosing.
  - **Summary:** The drug ORLADEYO was associated with causing a maculopapular drug rash in less than 1% of patients. The rash resolved even in those who continued taking the drug.
 

 2. **Patient Information:**
  - **Less Common Side Effects:** Rarely, some patients had a brief, itchy rash.
  - **Summary:** The drug ORLADEYO was associated with causing a brief, itchy rash in some patients, though this was a rare occurrence.
 

 In summary, ORLADEYO has been associated with causing dermatological reactions such as a maculopapular drug rash and a brief, itchy rash in a small percentage of patients. These reactions were rare and generally resolved, even if the patient continued taking the medication.",Less,Yes,1,1,,
TERBINAFINE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Terbinafine Tablets
 

 1. **Serious Skin/Hypersensitivity Reactions (Section 5.6)**
  - **Summary**: There have been postmarketing reports of serious skin/hypersensitivity reactions such as Stevens-Johnson syndrome, toxic epidermal necrolysis, erythema multiforme, exfoliative dermatitis, bullous dermatitis, and drug reaction with eosinophilia and systemic symptoms (DRESS) syndrome.
  - **Association**: The drug itself was associated with these serious skin reactions.
 

 2. **Warnings and Precautions (Section 5.6)**
  - **Summary**: If signs or symptoms of drug reaction occur, treatment with terbinafine tablets should be discontinued.
  - **Association**: The drug itself was associated with these reactions, necessitating discontinuation if they occur.
 

 3. **Postmarketing Experience (Section 6.2)**
  - **Summary**: Serious skin reactions such as Stevens-Johnson syndrome, toxic epidermal necrolysis, erythema multiforme, exfoliative dermatitis, bullous dermatitis, and DRESS syndrome have been reported.
  - **Association**: The drug itself was associated with these serious skin reactions.
 

 4. **Skin and Subcutaneous Tissue Disorders (Section 6.2)**
  - **Summary**: Other skin-related adverse events include acute generalized exanthematous pustulosis, psoriasiform eruptions or exacerbation of psoriasis, photosensitivity reactions, and hair loss.
  - **Association**: The drug itself was associated with these skin-related adverse events.
 

 5. **Patient Counseling Information (Section 17)**
  - **Summary**: Advise patients to report any signs of skin eruption, scaling, loss of pigment, and unusual photosensitivity that can result in a rash.
  - **Association**: The drug itself was associated with these dermatological reactions, and patients should be advised to report them.
 

 6. **Medication Guide (Section 17)**
  - **Summary**: Serious skin or allergic reactions, which may include problems with some of your body organs, have been reported. Symptoms include skin rash, hives, sores in the mouth, or skin blisters and peels.
  - **Association**: The drug itself was associated with these serious skin or allergic reactions.
 

 7. **New or Worsening Lupus (Section 17)**
  - **Summary**: Stop taking terbinafine tablets and tell your doctor if you get a skin rash that gets worse, is scaly, red, shows scarring, or loss of skin color.
  - **Association**: The drug itself was associated with the precipitation and exacerbation of lupus, which can manifest as skin reactions.
 

 8. **Common Side Effects (Section 17)**
  - **Summary**: The most common side effects include rash and itching.
  - **Association**: The drug itself was associated with these common dermatological side effects.
 

 ### Conclusion
 Terbinafine tablets are associated with a range of dermatological and cutaneous risks and reactions, including serious skin reactions like Stevens-Johnson syndrome and toxic epidermal necrolysis, as well as more common side effects such as rash and itching. Patients should be advised to report any skin-related symptoms immediately, and discontinuation of the drug may be necessary if serious reactions occur.",Most,Yes,1,1,,
RIMABOTULINUMTOXINB,"The drug label for MYOBLOC (rimabotulinumtoxinB) includes several mentions of dermatological and cutaneous risks and reactions. Here is a summary of those parts:
 

 1. **Hypersensitivity Reactions (Section 5.3)**
  - **Summary**: Serious hypersensitivity reactions, including urticaria (hives) and rash, have been reported with botulinum toxin products, including MYOBLOC.
  - **Association**: The drug itself was associated with these dermatological reactions.
 

 2. **Adverse Reactions (Section 6.1)**
  - **Summary**: In clinical trials for cervical dystonia, pruritis (itching) was reported in 2% or greater of patients.
  - **Association**: The drug itself was associated with this dermatological reaction.
 

 3. **Postmarketing Experience (Section 6.3)**
  - **Summary**: During postmarketing use of MYOBLOC, angioedema (swelling), urticaria (hives), and rash have been reported.
  - **Association**: The drug itself was associated with these dermatological reactions.
 

 4. **Medication Guide (Section 17)**
  - **Summary**: The Medication Guide advises patients to be aware of allergic reactions, including symptoms such as itching, rash, and redness.
  - **Association**: The drug itself was associated with these dermatological risks.
 

 In summary, MYOBLOC has been associated with several dermatological and cutaneous reactions, including urticaria, rash, pruritis, angioedema, and general allergic reactions involving itching and redness. These reactions have been observed both in clinical trials and postmarketing reports.",Most,Yes,1,1,,
FRUQUINTINIB,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for FRUZAQLA (fruquintinib):
 

 1. **Palmar-Plantar Erythrodysesthesia (PPE)**
  - **Label Section:** Warnings and Precautions (5.7)
  - **Summary:** FRUZAQLA can cause PPE. In 911 patients with mCRC treated with FRUZAQLA, PPE occurred in 35%, including 8% with Grade 3 events. Median time to first onset of PPE was 19 days from the first dose of FRUZAQLA. Based on severity, withhold FRUZAQLA and then resume at the same or reduced dose.
  - **Association:** The drug itself was associated with and caused PPE.
 

 2. **Hand-foot skin reactions (Palmar-Plantar Erythrodysesthesia [PPE])**
  - **Label Section:** Patient Information
  - **Summary:** Hand-foot skin reactions are common with FRUZAQLA and can also be severe. Tell your healthcare provider if you get a severe rash or redness, pain, blisters, bleeding, or swelling on the palms of your hands or soles of your feet during treatment.
  - **Association:** The drug itself was associated with and caused hand-foot skin reactions.
 

 3. **Rash**
  - **Label Section:** Other clinically important adverse reactions (all grades) that occurred in <10% of patients treated with FRUZAQLA included rash (9%).
  - **Summary:** Rash occurred in less than 10% of patients treated with FRUZAQLA.
  - **Association:** The drug itself was associated with and caused rash.
 

 4. **Allergic Reactions to FD&C Yellow No. 5 and FD&C Yellow No. 6**
  - **Label Section:** Warnings and Precautions (5.11)
  - **Summary:** FRUZAQLA 1 mg capsules contain FD&C Yellow No. 5 (tartrazine), which may cause allergic-type reactions (including bronchial asthma) in certain susceptible persons. FD&C Yellow No. 6 (sunset yellow FCF) can also cause allergic reactions.
  - **Association:** The drug itself contains color additives that may cause allergic-type reactions, including dermatological reactions.
 

 5. **Allergic Reactions to FD&C Yellow No. 5 and FD&C Yellow No. 6**
  - **Label Section:** Patient Information
  - **Summary:** FRUZAQLA 1 mg capsules contain the inactive ingredients FD&C Yellow No. 5 (tartrazine) and FD&C Yellow No. 6 (sunset yellow FCF). FD&C Yellow No. 5 (tartrazine) can cause allergic-type reactions (including bronchial asthma) in certain people, especially people who also have an allergy to aspirin. FD&C Yellow No. 6 (sunset yellow FCF) can also cause allergic reactions. Tell your healthcare provider if you get hives, rash, or trouble breathing during treatment with FRUZAQLA.
  - **Association:** The drug itself contains color additives that may cause allergic-type reactions, including dermatological reactions such as hives and rash.
 

 In summary, FRUZAQLA is associated with and can cause several dermatological and cutaneous reactions, including Palmar-Plantar Erythrodysesthesia (PPE), hand-foot skin reactions, rash, and allergic reactions due to its color additives FD&C Yellow No. 5 and No. 6.",Most,Yes,1,1,,
AFAMELANOTIDE,"### Summary of Dermatological and Cutaneous Risks and Reactions for SCENESSE (afamelanotide)
 

 1. **Generalized Increased Skin Pigmentation and Darkening of Pre-existing Nevi and Ephelides**:
  - **Summary**: SCENESSE may lead to generalized increased skin pigmentation and darkening of pre-existing nevi and ephelides because of its pharmacologic effect.
  - **Association**: The drug itself is associated with this dermatological risk.
 

 2. **Full Body Skin Examination Recommendation**:
  - **Summary**: A full body skin examination (twice yearly) is recommended to monitor pre-existing and new skin pigmentary lesions.
  - **Association**: This recommendation is due to the drug's potential to cause changes in skin pigmentation.
 

 3. **Skin Hyperpigmentation in Clinical Trials**:
  - **Summary**: In clinical trials, skin hyperpigmentation occurred in 4% of subjects treated with SCENESSE, compared to 0% in the vehicle group.
  - **Association**: The drug itself caused this dermatological reaction.
 

 4. **Specific Adverse Reactions - Skin Hyperpigmentation**:
  - **Summary**: Skin hyperpigmentation includes skin hyperpigmentation, pigmentation lip (subject also had skin hyperpigmentation), and pigmentation disorder.
  - **Association**: The drug itself caused these specific dermatological reactions.
 

 5. **Specific Adverse Reactions - Melanocytic Nevus**:
  - **Summary**: Melanocytic nevus occurred in 4% of subjects treated with SCENESSE, compared to 2% in the vehicle group.
  - **Association**: The drug itself caused this dermatological reaction.
 

 6. **Specific Adverse Reactions - Skin Irritation**:
  - **Summary**: Skin irritation occurred in 2% of subjects treated with SCENESSE, compared to 0% in the vehicle group.
  - **Association**: The drug itself caused this dermatological reaction.
 

 7. **Concomitant Measures - Sun and Light Protection**:
  - **Summary**: Patients are advised to maintain sun and light protection measures during treatment with SCENESSE to prevent phototoxic reactions related to EPP.
  - **Association**: This recommendation is due to the underlying condition (EPP) rather than the drug itself.
 

 8. **Expelled Implant**:
  - **Summary**: Patients are advised to contact their healthcare provider if the implant is expelled.
  - **Association**: This is related to the administration of the drug rather than a direct dermatological reaction caused by the drug.
 

 9. **Insertion Site Care and Monitoring**:
  - **Summary**: Patients are advised to monitor the insertion site after dressing removal and to report any reaction observed at the site to their healthcare provider.
  - **Association**: This is related to the administration of the drug rather than a direct dermatological reaction caused by the drug.
 

 ### Conclusion
 SCENESSE is associated with several dermatological risks and reactions, primarily related to increased skin pigmentation and darkening of pre-existing nevi and ephelides. Clinical trials have shown that the drug can cause skin hyperpigmentation, melanocytic nevus, and skin irritation. Regular skin examinations are recommended to monitor these potential changes. Additionally, patients are advised to maintain sun and light protection measures due to their underlying condition (EPP) and to monitor the insertion site for any reactions.",Most,Yes,1,1,,
NITAZOXANIDE,"The drug label for ALINIA (nitazoxanide) includes the following information regarding dermatological and cutaneous risks and reactions:
 

 1. **Section 6.2 Postmarketing Experience:**
  - **Sentence:** ""The following adverse reactions have been identified during post approval use of ALINIA. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure.""
  - **Summary:** This sentence indicates that the listed adverse reactions, including dermatological ones, were reported post-approval, but it does not confirm a direct causal relationship with the drug.
  - **Sentence:** ""Skin and subcutaneous tissue disorders: rash, urticaria.""
  - **Summary:** This sentence states that rash and urticaria (hives) have been reported as adverse reactions associated with the use of ALINIA.
 

 In summary, the drug label mentions that rash and urticaria have been reported as adverse reactions during postmarketing experience with ALINIA, but it does not definitively establish that the drug itself caused these dermatological reactions.",Less,Yes,1,2,,
INSULIN GLARGINE-YFGN,"### Summary of Dermatological and Cutaneous Risks and Reactions for SEMGLEE
 

 1. **Lipodystrophy and Localized Cutaneous Amyloidosis**:
  - **Risk**: The drug label mentions that SEMGLEE can cause lipodystrophy (pits in the skin or thickened skin) and localized cutaneous amyloidosis (skin with lumps) at the injection sites.
  - **Cause**: SEMGLEE itself is associated with these dermatological risks.
 

 2. **Injection Site Reactions**:
  - **Risk**: Patients taking SEMGLEE experienced injection site reactions, including redness, pain, itching, urticaria (hives), edema (swelling), and inflammation.
  - **Cause**: SEMGLEE itself is associated with these dermatological reactions.
 

 3. **Localized Cutaneous Amyloidosis**:
  - **Risk**: Localized cutaneous amyloidosis at the injection site has occurred. Hyperglycemia has been reported with repeated insulin injections into areas of localized cutaneous amyloidosis; hypoglycemia has been reported with a sudden change to an unaffected injection site.
  - **Cause**: SEMGLEE itself is associated with this dermatological risk.
 

 4. **General Dermatological Reactions**:
  - **Risk**: Adverse reactions commonly associated with insulin glargine products, including SEMGLEE, include allergic reactions, injection site reactions, lipodystrophy, pruritus (itching), rash, edema, and weight gain.
  - **Cause**: SEMGLEE itself is associated with these dermatological reactions.
 

 5. **Patient Instructions on Injection Sites**:
  - **Risk**: Patients are advised to rotate injection sites within the area chosen for each dose to reduce the risk of lipodystrophy and localized cutaneous amyloidosis.
  - **Cause**: This instruction is given to mitigate the dermatological risks associated with SEMGLEE.
 

 6. **Warnings and Precautions**:
  - **Risk**: The label advises not to inject SEMGLEE into areas of lipodystrophy or localized cutaneous amyloidosis to avoid hyperglycemia and hypoglycemia.
  - **Cause**: This precaution is directly related to the dermatological risks associated with SEMGLEE.
 

 ### Conclusion
 SEMGLEE is associated with several dermatological risks and reactions, including lipodystrophy, localized cutaneous amyloidosis, and various injection site reactions such as redness, pain, itching, and swelling. The drug label provides specific instructions and warnings to mitigate these risks.",Most,Yes,1,1,,
ANIDULAFUNGIN,"### Summary of Dermatological and Cutaneous Risks and Reactions for ERAXIS (Anidulafungin)
 

 1. **Warnings and Precautions (Section 5.2)**
  - **Infusion-related adverse reactions**: ERAXIS has been associated with infusion-related adverse reactions, which may include dermatological symptoms such as rash, urticaria (hives), and flushing. These reactions are possibly histamine-mediated.
 

 2. **Adverse Reactions (Section 6.1)**
  - **Adults with Candidemia and other Candida infections**: In clinical trials, skin and subcutaneous tissue disorders were reported in less than 2% of patients. Specific dermatological reactions included angioneurotic edema, erythema, pruritus (itching), sweating increased, and urticaria. These reactions were associated with the use of ERAXIS.
  - **Adults with Esophageal Candidiasis**: Dermatological reactions reported in less than 2% of patients included rash and urticaria. These reactions were associated with the use of ERAXIS.
  - **Pediatric Patients (1 month and older) with Candidemia/Invasive Candidiasis**: In clinical trials, skin and subcutaneous tissue disorders were reported in 24% of pediatric patients. Specific dermatological reactions included rash. These reactions were associated with the use of ERAXIS.
 

 3. **Post-marketing Experience (Section 6.2)**
  - **Immune reactions**: Post-marketing reports have identified anaphylactic reactions, including anaphylactic shock and bronchospasm, which can include dermatological symptoms such as rash and urticaria. These reactions were associated with the use of ERAXIS.
 

 ### Conclusion
 ERAXIS (anidulafungin) has been associated with various dermatological and cutaneous reactions, including rash, urticaria, erythema, pruritus, and angioneurotic edema. These reactions have been observed in both clinical trials and post-marketing reports. The drug itself is linked to these dermatological risks and reactions.",Less,Yes,1,1,,
VALOCTOCOGENE ROXAPARVOVEC-RVOX,"The drug label for ROCTAVIAN (valoctocogene roxaparvovec-rvox) mentions several dermatological and cutaneous risks and reactions. Here is a summary of those parts:
 

 1. **Infusion-Related Reactions**:
  - **Infusion-related reactions, including hypersensitivity reactions and anaphylaxis, have occurred**: This indicates that the drug itself was associated with these reactions.
  - **Symptoms included urticaria, pruritus, rash**: These symptoms are directly associated with the drug.
 

 2. **Adverse Reactions**:
  - **Most common adverse reactions (incidence ≥ 5%) were nausea, fatigue, headache, infusion-related reactions, vomiting, and abdominal pain**: This section does not specifically mention dermatological reactions.
  - **Infusion-related reactions were observed in 9 patients (7%), including hypersensitivity reactions (4%) and anaphylaxis (1%)**: This indicates that the drug itself was associated with these reactions.
  - **Non-laboratory adverse reactions (≥ 5%) to ROCTAVIAN are listed in Table 5**: This table includes **rash** and **maculopapular rash** as adverse reactions, indicating that the drug itself was associated with these reactions.
 

 3. **Corticosteroid Regimen and Alternate Immunosuppression**:
  - **The most common (≥ 10%) adverse reactions from corticosteroid use (N = 92) included acne (34%), rash (18%), and folliculitis (11%)**: These reactions are associated with the corticosteroid treatment required due to the drug, not the drug itself.
 

 4. **Warnings and Precautions**:
  - **Consider treatment with a corticosteroid, antihistamine, and other measures for management of an infusion reaction**: This suggests that dermatological reactions like rash and pruritus may require additional treatments, indicating that the drug itself was associated with these reactions.
 

 In summary, the drug ROCTAVIAN itself is associated with dermatological risks such as urticaria, pruritus, rash, and maculopapular rash. Additionally, corticosteroid treatment required due to the drug can cause dermatological reactions like acne, rash, and folliculitis.",Most,Yes,2,1,,
