,Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level,split
89,Purified Cortrophin Gel,REPOSITORY CORTICOTROPIN,CORTICOTROPIN,Heart Damage,ar,less,Congestive heart failure,severe,train
90,Miacalcin,CALCITONIN SALMON,CALCITONIN SALMON,Heart Damage,ar,less,hypertension,mild,test
91,Makena,HYDROXYPROGESTERONE CAPROATE,HYDROXYPROGESTERONE CAPROATE,Heart Damage,wp,less,hypertension,mild,train
92,FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE,Heart Damage,bw,most,death,severe,train
93,Lupron Depot-PED,LEUPROLIDE ACETATE,LEUPROLIDE ACETATE,Mixed,ar,less,bradycardia/hypertension,mild,train
94,Miochol E,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE,Mixed,ar,less,bradycardia/hypotension,mild,train
95,TISSUEBLUE,BRILLIANT BLUE G,BRILLIANT BLUE G,,no,no,,,train
96,MEMBRANEBLUE,TRYPAN BLUE,TRYPAN BLUE,,no,no,,,test
97,Steritalc 2g; Steritalc 3g; Steritalc 4g,TALC,TALC,Arrhythmia,ar,less,arrhythmia,mild,test
98,Novocaine,PROCAINE HYDROCHLORIDE,Procaine Hydrochloride,Mixed,ar,less,cardiac arrest/ depression of the myocardium,severe,train
99,PRIALT,ZICONOTIDE ACETATE,ziconotide acetate,Heart Damage,ar,less,hypotension,mild,test
100,Indium DTPA In 111,INDIUM IN-111 PENTETATE DISODIUM,Indium In-111 Pentetate Disodium,,no,no,,,test
101,Spinraza,NUSINERSEN,Nusinersen,,no,no,,,test
102,OMNIPAQUE,IOHEXOL,Iohexol,Mixed,bw,most,cardiac arrest/hypotenson,severe,test
103,Cytarabine,CYTARABINE,cytarabine,Heart Damage,wp,less,cardiomegaly ,mild,test
104,ParaGard T 380A,COPPER,COPPER,,no,no,,,test
105,Conray,IOTHALAMATE MEGLUMINE,IOTHALAMATE MEGLUMINE,Mixed,wp,most,cardiac arrest/myocardial infarction,severe,train
106,ISOVUE 200; ISOVUE 250; ISOVUE 300; ISOVUE 370,IOPAMIDOL,IOPAMIDOL,Mixed,wp,most,cardiac arrest/myocardial infarction,severe,test
107,Visipaque,IODIXANOL,Iodixanol,Mixed,bw,most,cardiac arrest/myocardial infarction,severe,train
108,PROSTIN VR PEDIATRIC,ALPROSTADIL,ALPROSTADIL,Mixed,ar,less,cardiac arrest/hypotension,severe,test
109,Nouress,CYSTEINE HYDROCHLORIDE,CYSTEINE HYDROCHLORIDE,,no,no,,,test
110,Gallium Ga-68 PSMA-11,GALLIUM GA-68 GOZETOTIDE,GALLIUM GA-68 GOZETOTIDE,,no,no,,,train
111,Amidate,ETOMIDATE,Etomidate,Mixed,ar,Less, hypotension/ tachycardia,Mild,test
112,Vasopressin,VASOPRESSIN,"VASOPRESSIN, UNSPECIFIED",Arrhythmia,wp,less,A decrease in cardiac index,mild,test
113,Ga-68-DOTATOC,EDOTREOTIDE GALLIUM GA-68,EDOTREOTIDE GALLIUM GA-68,,no,no,,,test
114,Photofrin,PORFIMER SODIUM,PORFIMER SODIUM,Mixed,ar,less,myocardial infarction/ supraventricular tachycardia.,severe,train
115,Omegaven,FISH OIL,Fish oil,,sp,ambiguous, hypersensitivity reaction:tachycardia/ hypotension,mild,test
116,AMONDYS 45,CASIMERSEN,casimersen,,no,no,,,train
117,Kit for the Preparation of Technetium Tc 99m Medronate,TECHNETIUM TC 99M MEDRONATE,TECHNETIUM TC-99M MEDRONATE,,no,no,,,train
118,Nulibry,FOSDENOPTERIN HYDROBROMIDE,fosdenopterin hydrobromide,,CLINICAL PHARMACOLOGY,no, QT study not been conducted,,test
119,acetylcysteine,ACETYLCYSTEINE,ACETYLCYSTEINE,,sp,ambiguous,Hypotension,mild,test
120,Onpattro,PATISIRAN,patisiran sodium,Arrhythmia,ar,less,atrioventricular (AV) heart block,mild,train
121,Xerava,ERAVACYCLINE,ERAVACYCLINE DIHYDROCHLORIDE,Arrhythmia,ar,less,palpitations,mild,train
122,ALIQOPA,COPANLISIB,COPANLISIB,Heart Damage,wp,less,hypertension,mild,test
123,GANITE,GALLIUM NITRATE,GALLIUM NITRATE,Heart Damage,ar,less,decrease in blood pressure,mild,train
124,Kimyrsa,ORITAVANCIN DIPHOSPHATE,oritavancin diphosphate,Arrhythmia,ar,less,Tachycardia,mild,test
125,Rifadin IV NOVAPLUS,RIFAMPIN,RIFAMPIN,,sp,ambiguous,hypersensitivity reactions: chest pain/palpitations,,test
126,Triferic AVNU,FERRIC PYROPHOSPHATE CITRATE,FERRIC PYROPHOSPHATE CITRATE,Heart Damage,ar,less,hypotension,mild,train
127,Ephedrine Sulfate,EPHEDRINE SULFATE,Ephedrine Sulfate,Mixed,ar,less,Tachycardia/reactive hypertension,mild,train
128,Ethamolin,ETHANOLAMINE OLEATE,Ethanolamine Oleate,,sp,ambiguous,patients with concomitant cardiorespiratory disease,,train
129,Fetroja,CEFIDEROCOL SULFATE TOSYLATE,Cefiderocol sulfate tosylate,Mixed,ar,less,congestive heart failure/atrial fibrillation,severe,train
130,Neuraceq,FLORBETABEN F 18,FLORBETABEN F-18,,no,no,,,test
131,CERIANNA,FLUOROESTRADIOL F 18,FLUOROESTRADIOL F-18,,no,no,,,test
132,TAUVID,FLORTAUCIPIR F-18,Flortaucipir F-18,,no,no,,,test
133,Viltepso,VILTOLARSEN,viltolarsen,Heart Damage,ar,less,Ejection fraction decreased,severe,test
134,RADICAVA,EDARAVONE,EDARAVONE,,sp,ambiguous,hypersensitivity reactions:decreased blood pressure,,test
135,Zulresso,BREXANOLONE,BREXANOLONE,Arrhythmia,ar,less,Tachycardia,mild,train
136,COPPER,CUPRIC CHLORIDE,CUPRIC CHLORIDE,,no,no,,,test
137,Xofigo,RADIUM RA 223 DICHLORIDE,RADIUM RA-223 DICHLORIDE,,no,no,,,train
138,Magnevist,GADOPENTETATE DIMEGLUMINE,GADOPENTETATE DIMEGLUMINE,Mixed,ar,less,tachycardia/hypertension,mild,train
139,Rapivab,PERAMIVIR,peramivir,,CLINICAL PHARMACOLOGY,no, not prolong the QTc interval,,test
140,MANGANESE,MANGANESE CHLORIDE,MANGANESE CHLORIDE,,no,no,,,test
141,Azedra,IOBENGUANE I-131,IOBENGUANE I-131,Mixed,ar,less,palpitations/hypotension,mild,test
142,Cyanokit,HYDROXOCOBALAMIN,Hydroxocobalamin,Heart Damage,wp,less,Elevations in blood pressure,mild,test
143,Cisplatin,CISPLATIN,cisplatin,Heart Damage,ar,less,myocardial infarction,severe,test
144,Orbactiv,ORITAVANCIN,ORITAVANCIN,Arrhythmia,ar,less,tachycardia,mild,train
145,Ascor,ASCORBIC ACID,ASCORBIC ACID,,no,no,,,train
146,Dopram,DOXAPRAM HYDROCHLORIDE,DOXAPRAM HYDROCHLORIDE,Arrhythmia,wp,most,various dysrhythmias,moderate,train
147,AdreView,IOBENGUANE I-123,Iobenguane I-123,,sp,ambiguous,"may increase release of norepinephrine from chromaffin granules and
produce a transient episode of hypertension,",,train
148,DAPZURA RT,DAPTOMYCIN,DAPTOMYCIN,Mixed,ar,less,supraventricular arrhythmia/Hypotension,moderate,test
149,Sodium Acetate,SODIUM ACETATE,SODIUM ACETATE ANHYDROUS,,sp,ambiguous,caution used in patients with cardiac failure,,test
150,REZIPRES,EPHEDRINE HYDROCHLORIDE,EPHEDRINE HYDROCHLORIDE,Mixed,ar,less,Tachycardia/hypertension,mild,train
151,Detectnet,COPPER CU 64 DOTATATE,COPPER OXODOTREOTIDE CU-64,,no,no,,,test
152,NETSPOT,68GA-DOTATATE,DOTATATE,,no,no,,,train
153,OLINVYK,OLICERIDINE,OLICERIDINE,Mixed,wp,most,QTc interval prolongation/severe hypotension,severe,test
154,Potassium Acetate,POTASSIUM ACETATE,POTASSIUM ACETATE,Arrhythmia,wp,most,"death by cardiac depression,
arrhythmias or arrest. ",severe,test
155,Calcium Chloride,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,no,no,,,test
156,Choline C 11,CHOLINE C-11,CHOLINE C-11,,no,no,,,train
157,Ethyol,AMIFOSTINE,AMIFOSTINE,Mixed,wp,most,myocardial infarction/supraventricular tachycardia,severe,train
158,Sodium Nitrite,SODIUM NITRITE,Sodium Nitrite,Heart Damage,bw,most,hypotension/,mild,train
159,Giapreza,ANGIOTENSIN II,ANGIOTENSIN II,Arrhythmia,ar,less,Tachycardia ,mild,train
160,KINEVAC,SINCALIDE,Sincalide,Heart Damage,ar,less,hypertension,mild,test
161,Zemdri (plazomicin),PLAZOMICIN,PLAZOMICIN,Heart Damage,ar,less,Hypertension,mild,test
162,DEFITELIO,DEFIBROTIDE SODIUM,DEFIBROTIDE SODIUM,Heart Damage,ar,less,hypotension,mild,train
163,Vizamyl,FLUTEMETAMOL F-18,Flutemetamol F-18,Heart Damage,ar,less,Increased blood pressure ,mild,test
164,Chromium,CHROMIC CHLORIDE,CHROMIC CHLORIDE,,no,no,,,train
165,IXEMPRA,IXABEPILONE,IXABEPILONE,Mixed,wp,most,"myocardial ischemia/ventricular
dysfunction",severe,test
166,Dextrose,DEXTROSE,DEXTROSE,,sp,ambiguous,used with care in patients with cardiac decompensation,,train
167,ARGATROBAN,ARGATROBAN,ARGATROBAN,Arrhythmia,ar,less,cardiac arrest,mild,train
168,IC-Green,INDOCYANINE GREEN,indocyanine green,,no,no,,,train
169,YONDELIS,TRABECTEDIN,Trabectedin,Heart Damage,wp,most,cardiac failure,severe,train
170,Sodium Thiosulfate,SODIUM THIOSULFATE,Sodium Thiosulfate,Heart Damage,ar,less,Hypotension,mild,train
171,EOVIST,GADOXETATE DISODIUM,GADOXETATE DISODIUM,Mixed,ar,less,Tachycardia/Blood pressure increased,mild,train
172,Corlopam,FENOLDOPAM MESYLATE,FENOLDOPAM MESYLATE,Arrhythmia,wp,less,dose-related tachycardia ,mild,train
173,Technescan HDP,TECHNETIUM TC 99M OXIDRONATE,OXIDRONATE DISODIUM,,no,no,,,test
174,Selenious Acid,SELENIOUS ACID,SELENIUM,,no,no,,,train
175,VENOFER (IRON SUCROSE),VENOFER (IRON SUCROSE),IRON SUCROSE,Heart Damage,wp,less,hypotension,mild,test
176,R-Gene,ARGININE HYDROCHLORIDE,ARGININE HYDROCHLORIDE,,no,no,,,test
177,Beleodaq,BELINOSTAT,BELINOSTAT,Mixed,ar,less,Prolonged QT/Hypotension,moderate,test
178,CardioGen-82,RUBIDIUM CHLORIDE RB-82,RUBIDIUM CHLORIDE RB-82,Mixed,wp,most,myocardial infarction/arrhythmia,severe,train
179,BRIDION,SUGAMMADEX,SUGAMMADEX SODIUM,Arrhythmia,wp,most,cardiac arrest,severe,test
180,Veletri,EPOPROSTENOL,epoprostenol,Mixed,ar,less,tachycardia/hypotension,mild,test
181,Calcium Gluconate,CALCIUM GLUCONATE,CALCIUM GLUCONATE MONOHYDRATE,Arrhythmia,wp,most,cardiac arrest,severe,train
182,DEFINITY RT,PERFLUTREN,PERFLUTREN,Mixed,bw,most,serious cardiopulmonary reactions/hypertension,severe,test
183,Ferrlecit,SODIUM FERRIC GLUCONATE COMPLEX,SODIUM FERRIC GLUCONATE COMPLEX,Heart Damage,wp,less,hypotension,mild,test
184,NEUROLITE,BICISATE DIHYDROCHLORIDE,BICISATE DIHYDROCHLORIDE,Heart Damage,ar,less,cardiac failure,severe,test
185,Halaven,ERIBULIN MESYLATE,ERIBULIN MESYLATE,Arrhythmia,wp,most,QT prolongation,Moderate,train
186,Exondys 51,ETEPLIRSEN,eteplirsen,,sp,ambiguous,Hypersensitivity reaction:tachycardia,mild,test
187,Monoferric,FERRIC DERISOMALTOSE,FERRIC DERISOMALTOSE,Arrhythmia,ar,less,Tachycardia,mild,train
188,Lutathera,LUTETIUM LU 177 DOTATATE,LUTETIUM OXODOTREOTIDE LU-177,Arrhythmia,ar,less,Atrial fibrillation,mild,train
189,Folotyn,PRALATREXATE,PRALATREXATE,Arrhythmia,ar,less,Tachycardia,mild,train
190,GALLIUM CITRATE GA-67,GALLIUM CITRATE GA-67,GALLIUM CHLORIDE GA-67,,no,no,,,train
191,ChiRhoStim; ChiRhoStim 40,HUMAN SECRETIN,SECRETIN HUMAN,,no,no,,,test
192,Alimta,PEMETREXED DISODIUM,Pemetrexed disodium heptahydrate,Arrhythmia,ar,less,arrhythmia,mild,train
193,Corvert,IBUTILIDE FUMARATE,IBUTILIDE FUMARATE,Arrhythmia,wp,most,Torsades de pointes,severe,test
194,ERAXIS,ANIDULAFUNGIN,ANIDULAFUNGIN,Arrhythmia,ar,less, sinus arrhythmia,mild,train
195,ILLUCCIX,KIT FOR THE PREPARATION OF GALLIUM GA 68 GOZETOTIDE INJECTION,GOZETOTIDE,,no,no,,,train
196,BELRAPZO,BENDAMUSTINE HYDROCHLORIDE,BENDAMUSTINE HYDROCHLORIDE,Mixed,ar,less,congestive heart failure (some fatal)/palpitation,severe,test
197,Foscavir,FOSCARNET SODIUM,foscarnet sodium,Arrhythmia,wp,most,prolongation of the QT interval,severe,train
198,Zinc Sulfate,ZINC SULFATE,ZINC SULFATE,,no,no,,,test
199,Hextend,HETASTARCH,HETASTARCH,Heart Damage,ar,less, congestive heart failure,severe,test
200,OMNISCAN,GADODIAMIDE,gadodiamide,Mixed,ar,less,Cardiac failure/rare arrhythmia ,severe,train
201,Barhemsys,AMISULPRIDE,Amisulpride,Arrhythmia,wp,most,Prolongation of the QT interval,severe,train
202,Choletec,MEBROFENIN,MEBROFENIN,,no,no,,,train
203,Teflaro,CEFTAROLINE FOSAMIL,CEFTAROLINE FOSAMIL,Arrhythmia,ar,less,"Bradycardia, Palpitations",mild,train
204,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,Mixed,wp,most,Ventricular Arrhythmias/Hypotension,moderate,train
205,VAPRISOL DEXTROSE IN PLASTIC CONTAINER,CONIVAPTAN HYDROCHLORIDE,conivaptan hydrochloride,Heart Damage,wp,less,hypotension,mild,train
206,Technetium Tc 99m Medronate,TECHNETIUM TC 99M MEDRONATE,MEDRONIC ACID,,sp,ambiguous,hypersensitivity reactions : hypotension,mild,train
207,Quadramet,SAMARIUM SM 153 LEXIDRONAM,SAMARIUM SM-153 LEXIDRONAM PENTASODIUM,Mixed,ar,less,Arrhythmias/Hypertension,mild,test
208,KYPROLIS,CARFILZOMIB,CARFILZOMIB,Mixed,wp,most,Cardiac failure/arrythmias,severe,test
209,PARSABIV,ETELCALCETIDE,ETELCALCETIDE HYDROCHLORIDE,Mixed,wp,most,Congestive heart failure/QT Interval Prolongation ,severe,test
210,Amyvid,FLORBETAPIR F 18,FLORBETAPIR F-18,Heart Damage,ar,less,Blood pressure increased,mild,test
211,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE ANHYDROUS,Mixed,wp,most,Congestive heart failure/QT Interval Prolongation ,severe,test
212,Vancomycin,VANCOMYCIN,VANCOMYCIN,Mixed,ar,less,Cardiac arrest/ chest pain,severe,test
213,AGGRASTAT,TIROFIBAN,TIROFIBAN HYDROCHLORIDE,Arrhythmia,ar,less,Bradycardia,mild,test
214,KENGREAL,CANGRELOR,CANGRELOR,,no,no,,,test
215,Injectafer,FERRIC CARBOXYMALTOSE; FERRIC CARBOXYMALTOSE INJECTION,FERRIC CARBOXYMALTOSE,Heart Damage,wp,less,hypertension ,mild,test
216,Torisel,TEMSIROLIMUS,TEMSIROLIMUS,Heart Damage,ar,less,pericardial effusion,severe,train
217,Zanosar,STREPTOZOCIN,STREPTOZOCIN,,no,no,,,test
218,Ultiva,REMIFENTANIL HYDROCHLORIDE,Remifentanil Hydrochloride,Mixed,wp,less,Bradycardia/Hypotension,mild,train
219,KHAPZORY,LEVOLEUCOVORIN,LEVOLEUCOVORIN DISODIUM,,no,no,,,train
