Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (Month/Day/Year),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,Query Link for Entire Search Output,Result Link for Entire Search Output,Export Date (YYYY/MM/DD) and Time for Entire Search Output
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,208716,Verzenio,ABEMACICLIB,2024/01/03,Kinase Inhibitor,2017,ELI LILLY AND COMPANY,2017/09/28-,0002-4483; 0002-4815; 0002-5337; 0002-6216,60UAB198HK,abemaciclib,abemaciclib,60UAB198HK,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/be4bc0de-0fdc-4d46-8d25-be43c79e6a06/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=be4bc0de-0fdc-4d46-8d25-be43c79e6a06,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=be4bc0de-0fdc-4d46-8d25-be43c79e6a06,be4bc0de-0fdc-4d46-8d25-be43c79e6a06,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,210308,YONSA,ABIRATERONE ACETATE,2023/01/16,Cytochrome P450 17A1 Inhibitor,2011,SUN PHARMACEUTICAL INDUSTRIES INC,2018/05/22-,47335-401,EM5OCB9YJ6,ABIRATERONE ACETATE,ABIRATERONE,G819A456D0,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b8967e10-f768-47ce-ac9e-2324c8390132/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b8967e10-f768-47ce-ac9e-2324c8390132,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b8967e10-f768-47ce-ac9e-2324c8390132,b8967e10-f768-47ce-ac9e-2324c8390132,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET; TABLET, FILM COATED",ORAL,NDA,202379,Zytiga,ABIRATERONE ACETATE,2021/10/14,Cytochrome P450 17A1 Inhibitor,2011,JANSSEN BIOTECH INC,2011/04/28-; 2017/04/17-,57894-150; 57894-195,EM5OCB9YJ6,Abiraterone acetate; abiraterone acetate,Abiraterone; abiraterone,G819A456D0,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/4e338e89-3cf2-48eb-b6e2-a06c608c6513/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4e338e89-3cf2-48eb-b6e2-a06c608c6513,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4e338e89-3cf2-48eb-b6e2-a06c608c6513,4e338e89-3cf2-48eb-b6e2-a06c608c6513,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,213871,CIBINQO,ABROCITINIB,2024/01/08,Janus Kinase Inhibitor,2022,U S PHARMACEUTICALS,2022/02/24-,63539-236; 63539-336; 63539-436,73SM5SF3OR,ABROCITINIB,ABROCITINIB,73SM5SF3OR,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/16c12a56-4550-414b-ac9d-b785b41fea6b/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=16c12a56-4550-414b-ac9d-b785b41fea6b,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=16c12a56-4550-414b-ac9d-b785b41fea6b,16c12a56-4550-414b-ac9d-b785b41fea6b,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,213871,Cibinqo,ABROCITINIB,2023/12/21,Janus Kinase Inhibitor,2022,PFIZER LABORATORIES DIV PFIZER INC,2022/02/24-,0069-0235; 0069-0335; 0069-0435,73SM5SF3OR,ABROCITINIB,ABROCITINIB,73SM5SF3OR,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/3f6d6fcd-e9f9-42c8-bfa2-bb2cfc9ed258/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3f6d6fcd-e9f9-42c8-bfa2-bb2cfc9ed258,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3f6d6fcd-e9f9-42c8-bfa2-bb2cfc9ed258,3f6d6fcd-e9f9-42c8-bfa2-bb2cfc9ed258,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,216387,CALQUENCE,ACALABRUTINIB,2022/08/04,Kinase Inhibitor,2017,ASTRAZENECA PHARMACEUTICALS LP,2022/08/04-,0310-3512,I42748ELQW,ACALABRUTINIB,ACALABRUTINIB,I42748ELQW,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b1409184-3267-4d8c-8f17-4e01f69828b1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b1409184-3267-4d8c-8f17-4e01f69828b1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b1409184-3267-4d8c-8f17-4e01f69828b1,b1409184-3267-4d8c-8f17-4e01f69828b1,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, GELATIN COATED",ORAL,NDA,210259,CALQUENCE,ACALABRUTINIB,2022/03/23,Kinase Inhibitor,2017,ASTRAZENECA PHARMACEUTICALS LP,2017/10/31-,0310-0512,I42748ELQW,ACALABRUTINIB,ACALABRUTINIB,I42748ELQW,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/dd4835ef-e1bc-4997-a399-1ffa2556fbfe/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dd4835ef-e1bc-4997-a399-1ffa2556fbfe,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=dd4835ef-e1bc-4997-a399-1ffa2556fbfe,dd4835ef-e1bc-4997-a399-1ffa2556fbfe,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,018917,SECTRAL,ACEBUTOLOL HYDROCHLORIDE,2012/01/12,beta-Adrenergic Blocker,,PROMIUS PHARMA LLC,1984/12/28-,67857-700; 67857-701,B025Y34C54,ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL,67P356D8GH,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/7eee95bf-0452-4d6e-9712-33403768695a/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7eee95bf-0452-4d6e-9712-33403768695a,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7eee95bf-0452-4d6e-9712-33403768695a,7eee95bf-0452-4d6e-9712-33403768695a,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,206968,Acetaminophen,ACETAMINOPHEN,2024/04/11,,1951,HIKMA PHARMACEUTICALS USA INC,2022/06/03-,0143-9386,362O9ITL9D,ACETAMINOPHEN,ACETAMINOPHEN,362O9ITL9D,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/88c29438-3648-4b09-bd43-70ad7a35bcb5/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=88c29438-3648-4b09-bd43-70ad7a35bcb5,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=88c29438-3648-4b09-bd43-70ad7a35bcb5,88c29438-3648-4b09-bd43-70ad7a35bcb5,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,204957,Acetaminophen,ACETAMINOPHEN,2023/05/18,,1951,B BRAUN MEDICAL INC,2021/02/18-,0264-4050; 0264-4100,362O9ITL9D,ACETAMINOPHEN,ACETAMINOPHEN,362O9ITL9D,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/6d763554-913d-4bed-9efd-b9c9b936a2f4/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6d763554-913d-4bed-9efd-b9c9b936a2f4,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6d763554-913d-4bed-9efd-b9c9b936a2f4,6d763554-913d-4bed-9efd-b9c9b936a2f4,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,204957,Acetaminophen,ACETAMINOPHEN,2022/01/31,,1951,B BRAUN MEDICAL INC,2023/10/10-,0264-4050,362O9ITL9D,ACETAMINOPHEN,ACETAMINOPHEN,362O9ITL9D,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/9744d804-2857-47ef-a27a-bca27db9394c/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9744d804-2857-47ef-a27a-bca27db9394c,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9744d804-2857-47ef-a27a-bca27db9394c,9744d804-2857-47ef-a27a-bca27db9394c,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,209471,Combogesic,ACETAMINOPHEN AND IBUPROFEN,2023/03/09,Nonsteroidal Anti-inflammatory Drug,2023,AFT PHARMACEUTICALS LTD,2024/03/01-,72260-129,362O9ITL9D; WK2XYI10QM,ACETAMINOPHEN; IBUPROFEN,ACETAMINOPHEN; IBUPROFEN,362O9ITL9D; WK2XYI10QM,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/f863558f-2a44-41f8-a6b7-271851d4c2ff/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f863558f-2a44-41f8-a6b7-271851d4c2ff,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f863558f-2a44-41f8-a6b7-271851d4c2ff,f863558f-2a44-41f8-a6b7-271851d4c2ff,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,215320,COMBOGESIC IV,ACETAMINOPHEN AND IBUPROFEN INJECTION,2024/04/29,Nonsteroidal Anti-inflammatory Drug,2023,HIKMA PHARMACEUTICALS USA INC,2024/02/05-,0143-9150,362O9ITL9D; WK2XYI10QM,ACETAMINOPHEN; IBUPROFEN,ACETAMINOPHEN; IBUPROFEN,362O9ITL9D; WK2XYI10QM,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/be408a5a-48e4-43c0-9cb1-bbf830b54f5b/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=be408a5a-48e4-43c0-9cb1-bbf830b54f5b,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=be408a5a-48e4-43c0-9cb1-bbf830b54f5b,be408a5a-48e4-43c0-9cb1-bbf830b54f5b,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,AURICULAR (OTIC),NDA,012179,Acetic Acid,ACETIC ACID,2022/09/19,,,AKORN,2010/01/22-,50383-889,Q40Q9N063P,ACETIC ACID,ACETIC ACID,Q40Q9N063P,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/c53fc11e-b177-446e-839d-391e1b2eacff/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c53fc11e-b177-446e-839d-391e1b2eacff,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c53fc11e-b177-446e-839d-391e1b2eacff,c53fc11e-b177-446e-839d-391e1b2eacff,,,
HUMAN PRESCRIPTION DRUG LABEL,IRRIGANT,IRRIGATION,NDA,017656,Acetic Acid,ACETIC ACID,2020/06/17,,,ICU MEDICAL INC,2019/11/25-,0990-6143,Q40Q9N063P,ACETIC ACID,ACETIC ACID,Q40Q9N063P,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/bc5b936e-eaf4-4814-a087-ee4446fb667a/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=bc5b936e-eaf4-4814-a087-ee4446fb667a,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=bc5b936e-eaf4-4814-a087-ee4446fb667a,bc5b936e-eaf4-4814-a087-ee4446fb667a,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,018749,Lithostat,ACETOHYDROXAMIC ACID,2024/01/08,Urease Inhibitor,,MISSION PHARMACAL COMPANY,1983/05/31-,0178-0500,4RZ82L2GY5,ACETOHYDROXAMIC ACID,ACETOHYDROXAMIC ACID,4RZ82L2GY5,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/6660b616-a82d-9109-19ce-2bdf9747acea/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6660b616-a82d-9109-19ce-2bdf9747acea,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6660b616-a82d-9109-19ce-2bdf9747acea,6660b616-a82d-9109-19ce-2bdf9747acea,,,
HUMAN PRESCRIPTION DRUG LABEL,KIT,INTRAOCULAR,NDA,020213,Miochol E,ACETYLCHOLINE CHLORIDE,2023/03/17,Cholinergic Receptor Agonist,,BAUSCH AND LOMB INCORPORATED,1993/09/22-,24208-539,AF73293C2R,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE,N9YNS0M02X,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e701ef07-9499-4b56-931f-f4eb3eedbe24/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e701ef07-9499-4b56-931f-f4eb3eedbe24,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e701ef07-9499-4b56-931f-f4eb3eedbe24,e701ef07-9499-4b56-931f-f4eb3eedbe24,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,NDA,021539,ACETADOTE,ACETYLCYSTEINE,2023/01/27,Antidote; Antidote for Acetaminophen Overdose; Mucolytic,2004,CUMBERLAND PHARMACEUTICALS INC,2004/01/23-,66220-207,WYQ7N0BPYC,Acetylcysteine,Acetylcysteine,WYQ7N0BPYC,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/472f158a-5ab9-4308-8e49-1116e6ea3d39/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=472f158a-5ab9-4308-8e49-1116e6ea3d39,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=472f158a-5ab9-4308-8e49-1116e6ea3d39,472f158a-5ab9-4308-8e49-1116e6ea3d39,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,200671,DURLAZA,ACETYLSALICYLIC ACID,2015/09/25,Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,2015,NEW HAVEN PHARMACEUTICALS INC,2015/09/25-,58487-001,R16CO5Y76E,Aspirin,Aspirin,R16CO5Y76E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/4c2a1403-3862-1efd-0a91-444989222b37/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4c2a1403-3862-1efd-0a91-444989222b37,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4c2a1403-3862-1efd-0a91-444989222b37,4c2a1403-3862-1efd-0a91-444989222b37,,,
HUMAN PRESCRIPTION DRUG LABEL,"POWDER, METERED",INHALATION,NDA,202450,Tudorza Pressair,ACLIDINIUM BROMIDE,2022/08/01,Anticholinergic,2012,COVIS PHARMA US INC,2015/07/01-,70515-002,UQW7UF9N91,ACLIDINIUM BROMIDE,ACLIDINIUM,K17VY42F6C,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/6f92cceb-a63f-4470-99b6-56179d98f10f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6f92cceb-a63f-4470-99b6-56179d98f10f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6f92cceb-a63f-4470-99b6-56179d98f10f,6f92cceb-a63f-4470-99b6-56179d98f10f,,,
HUMAN PRESCRIPTION DRUG LABEL,"POWDER, METERED",INHALATION,NDA,202450,Tudorza Pressair,ACLIDINIUM BROMIDE,2021/02/23,Anticholinergic,2012,ASTRAZENECA PHARMACEUTICALS LP,completed:2015/07/01-2024/07/31,0310-0800,UQW7UF9N91,ACLIDINIUM BROMIDE,ACLIDINIUM,K17VY42F6C,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/acdd5932-375b-4966-8a06-3806ab74c36d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=acdd5932-375b-4966-8a06-3806ab74c36d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=acdd5932-375b-4966-8a06-3806ab74c36d,acdd5932-375b-4966-8a06-3806ab74c36d,,,
HUMAN PRESCRIPTION DRUG LABEL,"POWDER, METERED",INHALATION,NDA,210595,DUAKLIR PRESSAIR,ACLIDINIUM BROMIDE AND FORMOTEROL FUMARATE,2022/08/01,Anticholinergic; beta2-Adrenergic Agonist,2019,COVIS PHARMA US INC,2019/03/29-,70515-001,UQW7UF9N91; W34SHF8J2K,ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,ACLIDINIUM; FORMOTEROL,5ZZ84GCW8B; K17VY42F6C,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/2eba3089-28b4-4190-9fba-2511246cfd16/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2eba3089-28b4-4190-9fba-2511246cfd16,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2eba3089-28b4-4190-9fba-2511246cfd16,2eba3089-28b4-4190-9fba-2511246cfd16,,,
