,generic_name,less_determination,binary_determination,no_less_most_prompts,yes_no_prompts,set_id,urls
40,AMILORIDE HYDROCHLORIDE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1cf090a2-b6c0-42cd-857e-60a9cd85fe19,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=1cf090a2-b6c0-42cd-857e-60a9cd85fe19&type=display
41,AMINOCAPROIC ACID,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",2238c70f-b0b5-4755-896b-45b28777b217,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=2238c70f-b0b5-4755-896b-45b28777b217&type=display
42,AMINOPHYLLINE,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",9066bdd0-cb03-40ed-abfa-1b6fb1fff607,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=9066bdd0-cb03-40ed-abfa-1b6fb1fff607&type=display
43,AMIODARONE HYDROCHLORIDE,Most,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",e9108958-b8d7-4fba-87c3-9a32990de551,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=e9108958-b8d7-4fba-87c3-9a32990de551&type=display
44,AMISULPRIDE,Most,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",ab23bc6e-b6a8-165f-e053-2a95a90ab144,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=ab23bc6e-b6a8-165f-e053-2a95a90ab144&type=display
45,AMITRIPTYLINE HYDROCHLORIDE,Most,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",19b236d3-eebc-42eb-b66e-141cb5fe91c2,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=19b236d3-eebc-42eb-b66e-141cb5fe91c2&type=display
46,AMLODIPINE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c1730a51-4383-4c61-a9a1-7e1326bd0abe,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=c1730a51-4383-4c61-a9a1-7e1326bd0abe&type=display
47,AMLODIPINE BESYLATE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",7367289c-b0b0-466a-83e2-558e2985c29f,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=7367289c-b0b0-466a-83e2-558e2985c29f&type=display
48,AMMONIA N-13,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",61e196ba-3812-4ffd-8032-12b215378fef,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=61e196ba-3812-4ffd-8032-12b215378fef&type=display
49,AMOXAPINE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",eed5e856-dd7b-4eaa-9dad-508f2bef9328,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=eed5e856-dd7b-4eaa-9dad-508f2bef9328&type=display
50,AMOXICILLIN,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",06e5c07d-d95c-4955-8d35-a4703ca2359e,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=06e5c07d-d95c-4955-8d35-a4703ca2359e&type=display
51,AMPHETAMINE,Most,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c1179269-00b5-48ea-972d-31e614e99b7e,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=c1179269-00b5-48ea-972d-31e614e99b7e&type=display
52,AMPHETAMINE SULFATE,Most,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",9eb84b3c-2147-42dd-8053-6afd1a88b0c1,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=9eb84b3c-2147-42dd-8053-6afd1a88b0c1&type=display
53,AMPHOTERICIN B,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",f7be6506-4d20-401e-a0ff-02ad7c33158a,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=f7be6506-4d20-401e-a0ff-02ad7c33158a&type=display
54,AMPICILLIN,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",a194f310-a669-4d8f-8c04-ee9ca01939b1,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=a194f310-a669-4d8f-8c04-ee9ca01939b1&type=display
55,AMPICILLIN SODIUM,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",06b1c203-600c-4083-986a-d1d471b56e43,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=06b1c203-600c-4083-986a-d1d471b56e43&type=display
